Codigo Proveedor ;Nombre ;Descripcion Larga;;Detalle;Familia;Clase ;Costo ;Precio Lista
1137446;CELULAR IPHONE 12 PRO MAX 128G;"CEL IPHONE 12 PRO MAX 6.7""6+128G A2342 P";30;"Modelo : IPhone 12 Pro Max A2342 . Memoria Interna: 128G . Memoria Ram: 6GB . Procesador Cpu: Neural Engine, Chip A14 Bionic . Sistema Operativo: iOS 14 . Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnolog¡a True Tone y revestimiento oleof¢bico . Camara: Principal Triple de 12MP, Ultra Wide f/2.4, lente de 5 elementos, y campo de visi¢n de 120§, Wide f/1.6 lente de 7 elementos, y Telephoto f/2.0 con lente de 6 elementos + C mara Frontal TrueDepth de 12MP f/2.2 . Conectividad: Wi?Fi 6 802.11ax con 2x2 MIMO - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K . Sensor: Face ID - LiDAR Scanner - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 y Motion JPEG, HDR con contenido Dolby Vision, HDR10 y HLG";23;23006;10165000;14231000
1137514;CELULAR IPHONE 12 PRO MAX 256G;"CEL IPHONE 12 PRO MAX 6.7""6+256G A2342 P";30;"Modelo : IPhone 12 Pro Max A2342 . Memoria Interna: 256G . Memoria Ram: 6GB . Procesador Cpu: Neural Engine, Chip A14 Bionic . Sistema Operativo: iOS 14 . Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnolog¡a True Tone y revestimiento oleof¢bico . Camara: Principal Triple de 12MP, Ultra Wide f/2.4, lente de 5 elementos, y campo de visi¢n de 120§, Wide f/1.6 lente de 7 elementos, y Telephoto f/2.0 con lente de 6 elementos + C mara Frontal TrueDepth de 12MP f/2.2 . Conectividad: Wi?Fi 6 802.11ax con 2x2 MIMO - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K . Sensor: Face ID - LiDAR Scanner - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 y Motion JPEG, HDR con contenido Dolby Vision, HDR10 y HLG";23;23006;11009000;15412600
1132854;IPAD 8 MYLA2 WIFI 32GB ;"IPAD 8 MYLA2 WIFI (20) 32GB 10.2"" SIL";23;"Modelo : IPad 8 MYLA2LL/A A2270 (2020) . Memoria Interna: 32G . Procesador Cpu: Chip A12 Bionic, Neural Engine . Sistema Operativo: IPadOS 14 . Pantalla: Retina LED Multi Touch de 10.2"", con Tecnolog¡a IPS, 500 Nits de brillo y revestimiento oleof¢bico . Camara: Principal de 8MP f/2.4 con Lente de 5 elementos, filtro infrarrojo h¡brido, Auto Focus, HDR, modo Burts, estabilizaci¢n autom tica de imagen y detector de rostro y cuerpo + FaceTime de 1.2MP f/2.4 . Caracteristica: Compatible con Apple Pencil (1¦ generaci¢n) . Conectividad: Wi-Fi 802.11 a/b/g/n/ac, doble banda (2.4GHz y 5GHz), HT80 con MIMO - Bluetooth 4.2 . Video: Calidad m xima de captura: HD 1080p a 30 fps, y c mara lenta en 720p a 120 fps . Sensor: Touch ID - Giroscopio de tres ejes - Aceler¢metro - Bar¢metro - Sensor de Luz Ambiente . Formato de Video: Reproduce: H.264, AAC-LC, MPEG 4, JPEG (M JPEG) y AVI";23;23006;3231000;4523400
1132892;IPAD 8 MYLE2 WIFI 128GB;"IPAD 8 MYLE2 WIFI (20) 128GB 10.2"" SIL";23;"Modelo : IPad 8 MYLA2LL/A A2270 (2020) . Memoria Interna: 32G . Procesador Cpu: Chip A12 Bionic, Neural Engine . Sistema Operativo: IPadOS 14 . Pantalla: Retina LED Multi Touch de 10.2"", con Tecnolog¡a IPS, 500 Nits de brillo y revestimiento oleof¢bico . Camara: Principal de 8MP f/2.4 con Lente de 5 elementos, filtro infrarrojo h¡brido, Auto Focus, HDR, modo Burts, estabilizaci¢n autom tica de imagen y detector de rostro y cuerpo + FaceTime de 1.2MP f/2.4 . Caracteristica: Compatible con Apple Pencil (1¦ generaci¢n) . Conectividad: Wi-Fi 802.11 a/b/g/n/ac, doble banda (2.4GHz y 5GHz), HT80 con MIMO - Bluetooth 4.2 . Video: Calidad m xima de captura: HD 1080p a 30 fps, y c mara lenta en 720p a 120 fps . Sensor: Touch ID - Giroscopio de tres ejes - Aceler¢metro - Bar¢metro - Sensor de Luz Ambiente . Formato de Video: Reproduce: H.264, AAC-LC, MPEG 4, JPEG (M JPEG) y AVI";23;23006;4119000;5766600
1144277;IPAD AIR MYFP2 WIFI 64GB ;"IPAD AIR MYFP2 WIFI (20) 64GB 10.9"" ROS";25;"Modelo : IPad Air 4th Generation A2316 MYFP2LL/A (2020) . Memoria Interna: 64G . Procesador Cpu: Chip A14 Bionic, Neural Engine . Sistema Operativo: IPadOS  . Pantalla: Retina L¡quida de 10.9"", con Tecnolog¡a IPS y revestimiento oleof¢bico . Camara: Wide de 12MP f/1.8, con Lente de 5 elementos, Smart HDR, Filtro Infrarrojo h¡brido, modo Burst, Temporizador y Geotagging + FaceTime HD de 7MP f/2.2 . Caracteristica: Compatible con Apple Pencil (2¦ generaci¢n) . Conectividad: Wi-Fi 802.11ax, doble banda (2.4GHz y 5GHz), HT80 con MIMO - Bluetooth 5.0 . Video: Calidad m xima de captura: 4K a 24 y 60 fps, Slow Motion en 1080p a 120 y 240 fps . Sensor: Touch ID - Giroscopio de tres ejes - Aceler¢metro - Bar¢metro - Sensor de Luz Ambiente . Formato de Video: Reproduce: H.264, AAC-LC, MPEG 4, JPEG (M JPEG) y AVI";23;23006;5087000;7121800
1164671;IPAD AIR MYFW2 WIFI 256GB ;"IPAD AIR MYFW2 WIFI (20) 256GB 10.9"" SIL";26;"Modelo : IPad Air 4th Generation A2316 MYFW2LL/A (2020) . Memoria Interna: 256G . Procesador Cpu: Chip A14 Bionic, Neural Engine . Sistema Operativo: IPadOS  . Pantalla: Retina L¡quida de 10.9"", con Tecnolog¡a IPS y revestimiento oleof¢bico . Camara: Wide de 12MP f/1.8, con Lente de 5 elementos, Smart HDR, Filtro Infrarrojo h¡brido, modo Burst, Temporizador y Geotagging + FaceTime HD de 7MP f/2.2 . Caracteristica: Compatible con Apple Pencil (2¦ generaci¢n) . Conectividad: Wi-Fi 802.11ax, doble banda (2.4GHz y 5GHz), HT80 con MIMO - Bluetooth 5.0 . Video: Calidad m xima de captura: 4K a 24 y 60 fps, Slow Motion en 1080p a 120 y 240 fps . Sensor: Touch ID - Giroscopio de tres ejes - Aceler¢metro - Bar¢metro - Sensor de Luz Ambiente . Formato de Video: Reproduce: H.264, AAC-LC, MPEG 4, JPEG (M JPEG) y AVI";23;23006;6463000;9048200
1139136;NOTEBOOK APPLE AIR MGN63LL;"NOTEBOOK APPLE AIR MGN63LL(20)M1 8C 8/256/13""C";26;"Modelo : MacBook Air A2337 MGN63LL/A (2020) . Pantalla:Retina LED Multi Touch de 12.9"", con Tecnolog¡a IPS, 600 Nits de brillo y revestimiento oleof¢bico . Procesador : Chip Apple M1 Octa Core . Sistema Operativo: MacOS  . Memoria Ram: 8GB LPDDR4X-4266 . SSD: 256GB . Conectividad: Wi-Fi 6 802.11ax - Bluetooth 5.0 . Camara: FaceTime HD . Sensor: Touch ID . Microfonos: Sistema de tres micr¢fonos con Tecnolog¡a Beamforming Direccional . Teclado: Retroiluminado por LED y con Sensor de Luz Ambiente . Alto Parlante: Integrados - Compatible con audio Dolby Atmos";31;31004;9189000;12864600
1139150;NOTEBOOK APPLE AIR MGN93LL;"NOTEBOOK APPLE AIR MGN93LL(20)M1 8C 8/256/13""S";26;"Modelo : MacBook Air A2337 MGN93LL/A (2020) . Pantalla:Retina Retina LED de 13.3"" con Tecnolog¡a True Tone . Procesador : Chip Apple M1 Octa Core . Sistema Operativo: MacOS  . Memoria Ram: 8GB LPDDR4X-4266 . SSD: 256GB . Conectividad: Wi-Fi 6 802.11ax - Bluetooth 5.0 . Camara: FaceTime HD . Sensor: Touch ID . Microfonos: Sistema de tres micr¢fonos con Tecnolog¡a Beamforming Direccional . Teclado: Retroiluminado por LED y con Sensor de Luz Ambiente . Alto Parlante: Integrados - Compatible con audio Dolby Atmos";31;31004;9082000;12714800
1139112;NOTEBOOK APPLE AIR MGND3LL;"NOTEBOOK APPLE AIR MGND3LL(20)M1 8C 8/256/13""D";26;"Modelo : MacBook Air A2337 MGND3LL/A (2020) . Pantalla:Retina Retina LED de 13.3"" con Tecnolog¡a True Tone . Procesador : Chip Apple M1 Octa Core . Sistema Operativo: MacOS  . Memoria Ram: 8GB LPDDR4X-4266 . SSD: 256GB . Conectividad: Wi-Fi 6 802.11ax - Bluetooth 5.0 . Camara: FaceTime HD . Sensor: Touch ID . Microfonos: Sistema de tres micr¢fonos con Tecnolog¡a Beamforming Direccional . Teclado: Retroiluminado por LED y con Sensor de Luz Ambiente . Alto Parlante: Integrados - Compatible con audio Dolby Atmos";31;31004;9038000;12653200
1139198;NOTEBOOK APPLE PRO MYDA2LL;"NOTEBOOK APPLE PRO MYDA2LL(20)M1 8C 8/256/13""S";26;Modelo : MacBook Pro A2338 MYDA2LL/A (2020) . Pantalla: Retina LED de 13.3?, con Tecnolog¡a IPS y Tecnolog¡a True Tone . Procesador : Chip Apple M1 Octa Core . Sistema Operativo: MacOS  . Memoria Ram: 8GB  . SSD: 256GB . Conectividad: Wi-Fi 802.11 ac - Bluetooth 4.0 . Camara: FaceTime HD . Sensor: Touch ID - Touch Bar . Microfonos: Sistema de tres micr¢fonos con calidad de estudio y Tecnolog¡a Beamforming Direccional . Teclado: Retroiluminado por LED y con Sensor de Luz Ambiente . Alto Parlante: Integrados - Compatible con audio Dolby Atmos;31;31004;10933000;15306200
1139204;NOTEBOOK APPLE PRO MYDC2LL;"NOTEBOOK APPLE PRO MYDC2LL(20)M1 8C 8/512/13""S";26;Modelo : MacBook Pro A2338 MYDC2LL/A (2020) . Pantalla: Retina LED de 13.3?, con Tecnolog¡a IPS y Tecnolog¡a True Tone . Procesador : Chip Apple M1 Octa Core . Sistema Operativo: MacOS  . Memoria Ram: 8GB  . SSD: 512GB . Conectividad: Wi-Fi 6 802.11ax - Bluetooth 5.0 . Camara: FaceTime HD . Sensor: Touch ID - Touch Bar . Microfonos: Sistema de tres micr¢fonos con calidad de estudio y Tecnolog¡a Beamforming Direccional . Teclado: Retroiluminado por LED y con Sensor de Luz Ambiente . Alto Parlante: Integrados - Compatible con audio Dolby Atmos;31;31004;12785000;17899000
1171020;NOTEBOOK APPLE AIR FGN63LL;NOTEBOOK APPLE AIR FGN63LL(20)M1 8/256 (CPO)CI;26;"Modelo : MacBook Air A2337 FGN63LL/A (2020) CPO . Pantalla: Retina LED de 13.3"" con Tecnolog¡a True Tone . Procesador : Chip Apple M1 Octa Core . Sistema Operativo: MacOS  . Memoria Ram: 8GB  . SSD: 256GB . Conectividad: Wi-Fi 6 802.11ax - Bluetooth 5.0 . Camara: FaceTime HD . Sensor: Touch ID . Microfonos: Sistema de tres micr¢fonos con Tecnolog¡a Beamforming Direccional . Teclado: Retroiluminado por LED y con Sensor de Luz Ambiente . Alto Parlante: Integrados - Compatible con audio Dolby Atmos";31;31004;8479000;11870600
798778;NOTEBOOK APPLE AIR MQD32LL;"NOTEBOOK APPLE AIR MQD32LL(17) 1.8 8G/128/13""S";26;"Modelo : Air A1466 MQD32LL/A (2017) . Pantalla: LCD Widescreen de 13.3"" retroiluminada por LED . Procesador : Intel Core i5 Dual Core de 1.8GHz (puede llegar hasta 2.9GHz en el modo Turbo Boost) - Cache L3 de 3MB . Sistema Operativo: MacOS  . Memoria Ram: 8GB  . SSD: 128GB . Conectividad: Wi-Fi 6 802.11ax - Bluetooth 5.0 . Camara: FaceTime HD . Sensor: Sensor de luz ambiente . Teclado: Retroiluminado por LED y con Sensor de Luz Ambiente . Alto Parlante: Integrados";31;31004;7218000;10105200
1134322;RELOGIO APPLE S6 40MM ;RELOGIO APPLE S6 40MM GPS MG283 SI/BR;22;Modelo : Series 6 MG283LL/A A2291 . Tama¤o: 40mm . Visor: Always-On Retina LTPO OLED, con 1.000 Nits de brillo . Procesador : Dual Core S6 SiP, 64 bits . Sistema Operativo: watchOS 7 . Memoria Ram: 32GB  . Compatibilidad: iPhone 6S o modelo superior, con iOS 14 o versiones posteriores. . Caracteristica: Posee Chip Wireless W3 - Con asistente virtual Siri - Tiene vidrio reforzado en el visor y cer mica y cristal de zafira en la parte posterior . Conectividad: Wi-Fi 802.11 b/g/n, doble banda 2.4GHz y 5GHz - Bluetooth 5.0 . Sensor: Sensor Card¡aco àptico 2¦ Generaci¢n y Sensor Card¡aco El‚ctrico - Sensor de Ox¡geno en la sangre - Alt¡metro - Aceler¢metro - Sensor de Luz Ambiente . Resistente al agua: 5 ATM . Duracion de Bateria: Aproximadamente 18 horas, puede variar seg£n las configuraciones de uso . ;23;23005;3267000;4573800
1133042;RELOGIO APPLE S6 44MM ;RELOGIO APPLE S6 44MM GPS M00H3 CI/PR;22;Modelo : Series 6 M00H3LL/A A2292 . Tama¤o: 44mm . Visor: Always-On Retina LTPO OLED, con 1.000 Nits de brillo . Procesador : Dual Core S6 SiP, 64 bits . Sistema Operativo: watchOS 6 . Memoria Ram: 32GB  . Compatibilidad: iPhone 6S o modelo superior, con iOS 14 o versiones posteriores. . Caracteristica: Posee Chip Wireless W3 - Con asistente virtual Siri - Tiene vidrio reforzado en el visor y cer mica y cristal de zafira en la parte posterior . Conectividad: Wi-Fi 802.11 b/g/n, doble banda 2.4GHz y 5GHz - Bluetooth 5.0 . Sensor: Sensor Card¡aco àptico 2¦ Generaci¢n y Sensor Card¡aco El‚ctrico - Sensor de Ox¡geno en la sangre - Alt¡metro - Aceler¢metro - Sensor de Luz Ambiente . Resistente al agua: 5 ATM . Duracion de Bateria: Aproximadamente 18 horas, puede variar seg£n las configuraciones de uso . ;23;23005;3720000;5208000
