Codigo Proveedor ;Nombre ;Descripcion Larga;;Detalle;Familia;Clase ;Costo ;Precio Lista
1061185;AURICULAR APPLE AIRPODS PRO;Auriculares Inal mbricos Apple AirPods Pro MWP22AM / A con Chip H1 - Blanco;27;Modelo : AirPods Pro MWP22AM/A (A2083, A2084, A2190) . Color: Blanco . Compatibilidad: Compatible con dispositivos iOS e iPadOS, Apple Watch y Mac con la versi¢n m s reciente del software . Caracteristicas: Con Chip H1 - Acceso r pido a la asistente Siri - Soporta cargadores con est ndar Qi . Conectividad: Cable USB integrado . Bateria: Recargable, compatible con recarga r pida . ;7;7002;2015000;2821000
1061185;AURICULAR APPLE AIRPODS PRO;Auriculares Inal mbricos Apple AirPods Pro MWP22AM / A con Chip H1 - Blanco;27;Modelo : AirPods Pro MWP22AM/A (A2083, A2084, A2190) . Color: Blanco . Compatibilidad: Compatible con dispositivos iOS e iPadOS, Apple Watch y Mac con la versi¢n m s reciente del software . Caracteristicas: Con Chip H1 - Acceso r pido a la asistente Siri - Soporta cargadores con est ndar Qi . Conectividad: Cable USB integrado . Bateria: Recargable, compatible con recarga r pida . ;7;7002;2015000;2821000
1144727;SPEAKER APPLE HOMEPOD ;SPEAKER APPLE HOMEPOD MIN MY5G2LL/A BT C;22;Modelo : HomePod mini MY5G2LL/A A2374 . Color: Space Gray . Conectividad: Wi-Fi 802.11 - Bluetooth 5.0 - Chip UltraWide para proximidad . Compatibilidad: iPhone SE, 6S, iPod Touch 7th Gen con iOS m s reciente, iPad 5th Gen, iPad Air 2, iPad Mini, o versiones superiores de estos modelos . Caracteristicas: Con controle Touch para reproducciones, ajuste de volumen y para activar a asistente virtual - Soporta servicios de Streaming Apple Music, Apple Podcasts y comandos de voz a trav‚s de la asistente virtual Siri - Posee gu¡a de onda ac£stica en 360ø;21;21002;994000;1391600
1166958;APPLE TV MXGY2 4K 32GB;APPLE TV MXGY2 4K 32GB;22;;23;23003;2140000;2996000
1044263;"CELULAR IPHONE 11 6.1"" 4+64GB";"CELULAR IPHONE 11 6.1"" 4+64GB A2111 ";29;"Modelo : IPhone 11 A2111 . Memoria Interna: 64G . Memoria Ram: 4G . Procesador Cpu: Neural Engine 3¦ Generaci¢n, Chip A13 Bionic . Sistema Operativo: IOS . Pantalla: Liquid Retina de 6.1"" HD, Multi Touch con Tecnolog¡a IPS y True Tone . Camara: Principal Dual de 12MP: Ultra Wide de f/2.4 con lente de 5 elementos y FOV 120ø, y Wide de f/1.8 y lente de 6 elementos + C mara Frontal TrueDepth de 12MP f/2.2 . Frecuencia: 4G . Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24, 30 y 60 fps, Full HD 1080p a 30 y 60 fps, HD 720p a 30 fps - Time-Lapse - Slow Motion 1080p a 120 y 240 fps - Video de QuickTake con seguimiento de sujeto - Estabilizaci¢n cinematogr fica (1080p y 720p) . Sensor: Face ID (reconocimiento facial a trav‚s de la c mara TrueDepth) - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;5660000;7924000
1183429;"CEL IPHONE 11 PRO 5.8""4+512";"CEL IPHONE 11 PRO 5.8""4+512 A2160";27;"Modelo : IPhone iPhone 11 Pro A2160 . Memoria Interna: 512G . Memoria Ram: 4G . Procesador Cpu: Neural Engine 3¦ Generaci¢n, Chip A13 Bionic . Sistema Operativo: IOS . Pantalla: Super Retina XDR de 5.8"", OLED Multi Touch con Tecnolog¡a True Tone . Camara: Principal Triple de 12MP: Ultra Wide de f/2.4 con lente de 5 elementos y FOV 120ø, Wide de f/1.8 y Telephoto de f/2.0, ambas con lente de 6 elementos + C mara Frontal TrueDepth de 12MP f/2.2 . Frecuencia: 4G . Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24, 30 y 60 fps, Full HD 1080p a 30 y 60 fps, HD 720p a 30 fps - Time-Lapse - Slow Motion 1080p a 120 y 240 fps - Video de QuickTake con seguimiento de sujeto - Estabilizaci¢n cinematogr fica (1080p y 720p) . Sensor: Face ID (reconocimiento facial a trav‚s de la c mara TrueDepth) - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;8425000;11795000
1137279;CELULAR IPHONE 12 128GB ;"CELULAR IPHONE 12 6.1"" 4+128GB A2403 ";24;"Modelo : IPhone 12 A2403 . Memoria Interna: 128G . Memoria Ram: 4G . Procesador Cpu: Neural Engine, Chip A14 Bionic . Sistema Operativo: IOS 14 . Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnolog¡a True Tone y revestimiento oleof¢bico . Camara: Principal Dual 12MP, Ultra Wide f/2.4, lente de 5 elementos y campo de visi¢n de 120ø, y Wide f/1.6 con lente de 7 elementos y estabilizaci¢n ¢ptica de imagen + C mara Frontal TrueDepth de 12MP f/2.2 . Frecuencia: 5G . Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24.30 y 60 fps, HDR con Dolby Vision a hasta 30 fps, Slow Motion 1080p a 120 y 240 fps - Permite capturar fotos de 8MP mientras graba video en 4K . Sensor: Face ID - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;8186000;11460400
1134704;CELULAR IPHONE 12 PRO 128GB ;"CELULAR IPHONE 12 PRO 6.1"" 6+128GB A2341 ";28;"Modelo : IPhone 12 Pro A2341 . Memoria Interna: 128G . Memoria Ram: 6G . Procesador Cpu: Neural Engine, Chip A14 Bionic . Sistema Operativo: IOS 14 . Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnolog¡a True Tone y revestimiento oleof¢bico . Camara: Principal Dual 12MP, Ultra Wide f/2.4, lente de 5 elementos y campo de visi¢n de 120ø, y Wide f/1.6 con lente de 7 elementos y estabilizaci¢n ¢ptica de imagen + C mara Frontal TrueDepth de 12MP f/2.2 . Frecuencia: 5G . Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24.30 y 60 fps, HDR con Dolby Vision a hasta 30 fps, Slow Motion 1080p a 120 y 240 fps - Permite capturar fotos de 8MP mientras graba video en 4K . Sensor: Face ID - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;9278000;12989200
1135107;CELULAR IPHONE 12 PRO 256GB ;"CELULAR IPHONE 12 PRO 6.1"" 6+256GB A2341 ";28;"Modelo : IPhone 12 Pro A2341 . Memoria Interna: 128G . Memoria Ram: 6G . Procesador Cpu: Neural Engine, Chip A14 Bionic . Sistema Operativo: IOS 14 . Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnolog¡a True Tone y revestimiento oleof¢bico . Camara: Principal Triple de 12MP, Ultra Wide f/2.4, lente de 5 elementos, y campo de visi¢n de 120§, Wide f/1.6 lente de 7 elementos, y Telephoto f/2.0 con lente de 6 elementos + C mara Frontal TrueDepth de 12MP f/2.2 . Frecuencia: 5G . Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K . Sensor: Face ID - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;10121000;14169400
1137507;CELULAR IPHONE 12 PRO MAX 256;"CELULAR IPHONE 12 PRO MAX 6.7""6+256G A2342 ";29;"Modelo : IPhone 12 Pro Max A2342 . Memoria Interna: 256G . Memoria Ram: 6G . Procesador Cpu: Neural Engine, Chip A14 Bionic . Sistema Operativo: IOS 14 . Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnolog¡a True Tone y revestimiento oleof¢bico . Camara: Principal Triple de 12MP, Ultra Wide f/2.4, lente de 5 elementos, y campo de visi¢n de 120§, Wide f/1.6 lente de 7 elementos, y Telephoto f/2.0 con lente de 6 elementos + C mara Frontal TrueDepth de 12MP f/2.2 . Frecuencia: 5G . Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K . Sensor: Face ID - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;11008000;15411200
1134704;CELULAR IPHONE 12 PRO 6+256GB;"CELULAR IPHONE 12 PRO 6.1"" 6+256GB A2341";29;"Modelo : iPhone 12 Pro A2341 . Memoria Interna: 256G . Memoria Ram: 6GB . Procesador Cpu: Neural Engine, Chip A14 Bionic . Sistema Operativo: iOS 14 . Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnolog¡a True Tone y revestimiento oleof¢bico . Camara: Principal Triple de 12MP, Ultra Wide f/2.4, lente de 5 elementos, y campo de visi¢n de 120§, Wide f/1.6 lente de 7 elementos, y Telephoto f/2.0 con lente de 6 elementos + C mara Frontal TrueDepth de 12MP f/2.2 . Conectividad: Wi?Fi 6 802.11ax con 2x2 MIMO - Bluetooth 5.0 - NFC . Video: Calidad m xima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K . Sensor: Face ID - LiDAR Scanner - Bar¢metro - Giroscopio - Aceler¢metro - Proximidad - Sensor de Luz Ambiente . Formato de Video: Reproduce: Reproduce: HEVC, H.264, MPEG-4 Part 2 y Motion JPEG, HDR con contenido Dolby Vision, HDR10 y HLG";23;23006;10121000;14169400
