CodigoProveedor;Nombre ;Descripcion Larga;Descripcion Larga;Familia;Clase ;Costo ;Precio Lista
SMN985FB;Celular Galaxy Note 20 Ultra;Celular Galaxy Note 20 Ultra 256Gb;Celular Galaxy Note 20 Ultra 256Gb;7;7001;8800000;12320000
RS62R5011M9ZS;Heladera Samsung Side 647L;Heladera Samsung Side By Side Con Tec Spacemax 647 Lts Inox;Heladera Samsung Side By Side Con Tec Spacemax 647 Lts Inox;5;5001;8039000;11255000
RS65R5411;Heladera Samsung Side 617L;Heladera Samsung Side By Side Con Tec Spacemax 617 Lts C/Disp Inox;Heladera Samsung Side By Side Con Tec Spacemax 617 Lts C/Disp Inox;5;5001;10447000;14626000
RT32K5030SL;Heladera Freezer Sup 321L ;Heladera Freezer Superior Twin Cooling Plus 321 L Clean Steel;Heladera Freezer Superior Twin Cooling Plus 321 L Clean Steel;5;5001;4056000;5679000
RT35K5730SL;Heladera Samsung 375L;Heladera Samsung 375 Lts Twin Cooling C/ Disp. Inox ;Heladera Samsung 375 Lts Twin Cooling C/ Disp. Inox ;5;5001;4578000;6410000
RT38K5992SLZS;Heladera Samsung 394 Dig;Heladera Samsung 394 Litros Twin Cooling Plus Dig Inverter C/ Disp;Heladera Samsung 394 Litros Twin Cooling Plus Dig Inverter C/ Disp;5;5001;5521000;7730000
RT43K6231SLZS;Heladera Samsung 430 Lts Inox ;Heladera Samsung 430 Lts Twin Cooling Plus Inox ;Heladera Samsung 430 Lts Twin Cooling Plus Inox ;5;5001;5267000;7374000
RT46K6631BS;Heladera Clasico Black 452L;Heladera Clasico Black Edition C/Twin Cooling Plus No Frost 452Lts C/Disp;Heladera Clasico Black Edition C/Twin Cooling Plus No Frost 452Lts C/Disp;5;5001;5845000;8183000
RT53K6541SLEY;Heladera Samsung 534 Lts;Heladera Samsung 534 Lts Twin Cooling Plus Tm C/ Disp.Silver;Heladera Samsung 534 Lts Twin Cooling Plus Tm C/ Disp.Silver;5;5001;7073000;9903000
WA12J5712LWZS;Lavarropas Samsung 12Kg ;Lavarropas Samsung 12Kg C. Superior Activ Dualwash Blanco;Lavarropas Samsung 12Kg C. Superior Activ Dualwash Blanco;13;13001;2709000;3793000
WA19N6780CVZS; Lavadora Activ Dualwash 19 Kg; Lavadora Carga Superior Con Activ DualwasH  19 Kg, Black Stainless; Lavadora Carga Superior Con Activ DualwasH  19 Kg, Black Stainless;13;13001;4792000;6709000
WA80H4200SWZS;Lavarropas Samsung 8 Kg Bl;Lavarropas Samsung 8 Kg C. Superior Blanco;Lavarropas Samsung 8 Kg C. Superior Blanco;13;13001;1870000;2618000
WD12N64FR2XEY;Lavadora/Secadora Air Wash;Lavadora/Secadora Q-Rator Air WasH  Eco Bubble 12.5 Kg Seca 7Kg;Lavadora/Secadora Q-Rator Air WasH  Eco Bubble 12.5 Kg Seca 7Kg;13;13001;5940000;8316000
WD22N8750KVZS;Lavasecarropa Samsung 22K;Lavasecarropa Samsung Addwash De 22 Kilos C/ Toma-Black Caviar;Lavasecarropa Samsung Addwash De 22 Kilos C/ Toma-Black Caviar;13;13001;8879000;12431000
WW60J3287LWGG;Lavarropas Samsung 6K;Lavarropas Samsung Carga Frontal 6 Kg;Lavarropas Samsung Carga Frontal 6 Kg;13;13001;2384000;3338000
WW85J4273JWBO;Lavarropa Samsung 8.5K;Lavarropa Samsung Carga Frontal 8.5Kg -Blanco;Lavarropa Samsung Carga Frontal 8.5Kg -Blanco;13;13001;2662000;3727000
AR18NSPXBWKZS;Split Wind-Free 18K;Aire Acondicionado Split Wind-Free 18K Btu C/Kit ;Aire Acondicionado Split Wind-Free 18K Btu C/Kit ;25;25004;4840000;6776000
AR24MSFPEWQNEU;Split Inverter 24K;Aire Acondicionado Split Inverter 24 K Btuc/Kit;Aire Acondicionado Split Inverter 24 K Btuc/Kit;25;25004;5521000;7730000
AR24NSPXCWKZS;Split Wind 24K;Aire Acondicionado Split Wind-Free 24 K Btu C/Kit;Aire Acondicionado Split Wind-Free 24 K Btu C/Kit;25;25004;5758000;8062000
SMT290NB;Galaxy Tab A 8 32Gb Wifi;Galaxy Tab A 8 32Gb Wifi;Galaxy Tab A 8 32Gb Wifi;23;23006;1046000;1465000
SMT295NB;Galaxy Tab A 8 32Gb Lte;Galaxy Tab A 8 32Gb Lte;Galaxy Tab A 8 32Gb Lte;23;23006;1347000;1886000
SMT830;Galaxy Tab S4 10.5;Galaxy Tab S4  10.5  pulgadas Wifi 64Gb;Galaxy Tab S4  10.5  pulgadas Wifi 64Gb;23;23006;5647000;7906000
SMT870N;Galaxy Tab S7 2020 ;Galaxy Tab S7 2020 11pulgadas Wifi 128Gb;Galaxy Tab S7 2020 11pulgadas Wifi 128Gb;23;23006;6273000;8783000
SMT970NA;Galaxy Tab S7  2020 - 12.4;Galaxy Tab S7  2020 12.4 pulgadas Wifi 128Gb;Galaxy Tab S7  2020 12.4 pulgadas Wifi 128Gb;23;23006;7319000;10247000
