cod;nombre;nombre largo;detalle;familia ;clase ;costo;lista 
61;PARLANTE CONSUMER CRMBASS ;PARLANTE CONSUMER CRMBASS BLUETOOTH ;Bluetooth 3.0. . Microfono Manos Libres Para Llamadas. . Entrada Auxiliar. . Lector De Tarjeta Tf. . Bateria Recargable 1800Mah. . Medidas 17X7.5X7 Cm.;21;21002;230000;322000
62;PARLANTE CONSUMER CRMTONE;PARLANTE CONSUMER CRMTONE BLUETOOTH ;Bluetooth 3.0. . Microfono Manos Libres Para Llamadas. . Entrada Auxiliar. . Lector De Tarjeta Tf. . Bateria Recargable 1200Mah. . Medidas 19.6X7.5X8 Cm.;21;21002;200000;280000
217;PARLANTE CONSUMER PARTY BLANCO;PARLANTE BLUETOOTH PARTY RADIO FM SD USB AUX BLANCO CONSUMER;Hasta 7 Hs. De Musica. . Radio Fm. . Bluetooth (Rango 10 Mts.) . Manos Libres Para Llamadas. BateriðA Recargable. . Color: Blanco. . Entradas: Aux   Micro Sd   Usb   Micro Usb (Recarga De Bateria) . Color Blanco ;21;21002;290000;406000
218;PARLANTES CONSUMER 12 GT2;PARLANTES CONSUMER 12  GT2 BLUETOOTH 60W;Amplificadores Speaker Box Bluetooth. . Radio Fm. . Pantalla Lcd. . Puertos Usb Sd Mmc. . Panel De Control Mp3. . Entrada Y Salida Aux. . Subwoofer. . Bateria Recargable. . Trolley integrado. . Asa Telescopica. . Potencia: 1000W. . incluye 1 Microfono inalambrico;21;21002;1490000;2086000
219;PARLANTES CONSUMER 15 GT3;PARLANTES CONSUMER 15  GT3 BLUETOOTH 80W;Parlante Bluetooth Gt3 80W Rms.  . Woofer: 15?X2 + Tweeter.  . Bateria Recargable.  . Puertos Usb Tf.  . Microfono inalambrico Vhf.  . Entrada Aux Mic.  . Radio Fm. Luz Led.  . Control Remoto Full. Con Ruedas;21;21002;1690000;2366000
230;PARLANTES CONSUMER BT6;PARLANTES CONSUMER 6.5  ROCKER BT6 BLUETOOTH;35W Rms.  . Subwoofer: 2X6,5 ? .  . Luces Led.  . Puertos Usb Tf.  . Bluetooth.   . Radio Fm.  . Entrada Aux Mic.  . Control Remoto Full.  . Bateria De Litio 7,4V 3000Mah;21;21002;680000;952000
231;PARLANTES CONSUMER BT8;PARLANTES CONSUMER 8  ROCKER BT8 BLUETOOTH;45W Rms.  . Subwoofer: 2X8 ? .  . Luces Led.  . Puertos Usb Tf.  . Bluetooth.   . Radio Fm.  . Entrada Aux Mic.  . Control Remoto Full.  . Bateria De Litio 7,4V 3600Mah . ;21;21002;880000;1232000
232;PARLANTES CONSUMER BT10;PARLANTES CONSUMER 10  ROCKER BT10 BLUETOOTH;100W Rms.  . Subwoofer: 2X10 ? .  . Luces Led.  . Puertos Usb Tf.  . Bluetooth.   . Radio Fm.  . Entrada Aux Mic.  . Control Remoto Full. . incluye 1 Microfono.  . Bateria De acido Solido 12V 7,5Ah;21;21002;1750000;2450000
233;EQUIPO DE AUDIO CONSUMER 630W;EQUIPO DE AUDIO CONSUMER SOUND BAR 630W;Puerto Usb. . Conexion Bluetooth. . Radio Fm. . Ranura Para Tarjeta De Memoria Sd. ;21;21005;500000;700000
234;SPEAKER TOWER CONSUMER;SPEAKER TOWER CONSUMER;Potencia 2000 Watts . Puerto Usb . Conexion Bluetooh . Radio Fm . Ranura Tarjeta De Memoria Sd . Control Remoto;21;21002;1200000;1680000
235;SPEAKER SPIDER CONSUMER;SPEAKER SPIDER CONSUMER;Subwoofer: 252 X 289 X 252 Mm.  . Satelites: 6,5? + 3? X2.  . Aux in.  . Usb Sd Playback.  . Fm Radio.  . indicadores Led.  . Control Remoto;21;21002;500000;700000
323;PARLANTE CONSUMER PARTY NEGRO ;PARLANTE BLUETOOTH PARTY RADIO FM SD USB AUX NEGRO CONSUMER;Hasta 7 Hs. De Musica. . Radio Fm. . Bluetooth (Rango 10 Mts.) . Manos Libres Para Llamadas. BateriðA Recargable. . Color: Blanco. . Entradas: Aux   Micro Sd   Usb   Micro Usb (Recarga De Bateria) . Color Negro;21;21002;290000;406000
