Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle;Familia;Clase ;Costo ;Precio Lista
1183429;"CEL IPHONE 11 PRO 5.8""4+512";"CEL IPHONE 11 PRO 5.8""4+512 A2160";"Modelo : IPhone iPhone 11 Pro A2160
Memoria Interna: 512G
Memoria Ram: 4G
Procesador Cpu: Neural Engine 3¦ Generacion, Chip A13 Bionic
Sistema Operativo: IOS
Pantalla: Super Retina XDR de 5.8"", OLED Multi Touch con Tecnologia True Tone
Camara: Principal Triple de 12MP: Ultra Wide de f 2.4 con lente de 5 elementos y FOV 120ø, Wide de f 1.8 y Telephoto de f 2.0, ambas con lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Frecuencia: 4G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 y 60 fps, Full HD 1080p a 30 y 60 fps, HD 720p a 30 fps - Time-Lapse - Slow Motion 1080p a 120 y 240 fps - Video de QuickTake con seguimiento de sujeto - Estabilizacion cinematografica (1080p y 720p)
Sensor: Face ID (reconocimiento facial a traves de la camara TrueDepth) - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;8317000;11644000
1137279;"CELULAR IPHONE 12 6.1"" 4+128GB ";"CELULAR IPHONE 12 6.1"" 4+128GB A2403 ";"Modelo : IPhone 12 A2403
Memoria Interna: 128G
Memoria Ram: 4G
Procesador Cpu: Neural Engine, Chip A14 Bionic
Sistema Operativo: IOS 14
Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnologia True Tone y revestimiento oleofobico
Camara: Principal Dual 12MP, Ultra Wide f 2.4, lente de 5 elementos y campo de vision de 120ø, y Wide f 1.6 con lente de 7 elementos y estabilizacion optica de imagen + Camara Frontal TrueDepth de 12MP f 2.2
Frecuencia: 5G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24.30 y 60 fps, HDR con Dolby Vision a hasta 30 fps, Slow Motion 1080p a 120 y 240 fps - Permite capturar fotos de 8MP mientras graba video en 4K
Sensor: Face ID - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;7977000;11168000
1134704;"CELULAR IPHONE 12 PRO 6.1"" 6+128GB ";"CELULAR IPHONE 12 PRO 6.1"" 6+128GB A2341 ";"Modelo : IPhone 12 Pro A2341
Memoria Interna: 128G
Memoria Ram: 6G
Procesador Cpu: Neural Engine, Chip A14 Bionic
Sistema Operativo: IOS 14
Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnologia True Tone y revestimiento oleofobico
Camara: Principal Dual 12MP, Ultra Wide f 2.4, lente de 5 elementos y campo de vision de 120ø, y Wide f 1.6 con lente de 7 elementos y estabilizacion optica de imagen + Camara Frontal TrueDepth de 12MP f 2.2
Frecuencia: 5G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24.30 y 60 fps, HDR con Dolby Vision a hasta 30 fps, Slow Motion 1080p a 120 y 240 fps - Permite capturar fotos de 8MP mientras graba video en 4K
Sensor: Face ID - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;9123000;12773000
1135107;"CELULAR IPHONE 12 PRO 6.1"" 6+256GB ";"CELULAR IPHONE 12 PRO 6.1"" 6+256GB A2341 ";"Modelo : IPhone 12 Pro A2341
Memoria Interna: 128G
Memoria Ram: 6G
Procesador Cpu: Neural Engine, Chip A14 Bionic
Sistema Operativo: IOS 14
Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnologia True Tone y revestimiento oleofobico
Camara: Principal Triple de 12MP, Ultra Wide f 2.4, lente de 5 elementos, y campo de vision de 120§, Wide f 1.6 lente de 7 elementos, y Telephoto f 2.0 con lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Frecuencia: 5G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K
Sensor: Face ID - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;9921000;13890000
1137507;"CELULAR IPHONE 12 PRO MAX 6.7""6+256";"CELULAR IPHONE 12 PRO MAX 6.7""6+256G A2342 ";"Modelo : IPhone 12 Pro Max A2342
Memoria Interna: 256G
Memoria Ram: 6G
Procesador Cpu: Neural Engine, Chip A14 Bionic
Sistema Operativo: IOS 14
Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnologia True Tone y revestimiento oleofobico
Camara: Principal Triple de 12MP, Ultra Wide f 2.4, lente de 5 elementos, y campo de vision de 120§, Wide f 1.6 lente de 7 elementos, y Telephoto f 2.0 con lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Frecuencia: 5G
Conectividad: Wi-Fi 6 802.11ax con MIMO 2 x 2 - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K
Sensor: Face ID - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;10736000;15031000
982894;"CELULAR IPHONE XR 6.1"" 3+256GB ";"CELULAR IPHONE XR 6.1"" 3+256GB A1984(C/ACE)A";"Modelo : IPhone XR A1984 MT0L2LL A
Memoria Interna: 256G
Memoria Ram: 3G
Procesador Cpu: Chip A12 Bionic, Neural Engine
Sistema Operativo: IOS
Pantalla: Liquid Retina de 6.1"" HD, con True Tone, Tecnologia IPS y revestimiento oleofobico
Camara: Principal Wide Angle de 12MP f 1.8 con Lente de 6 elementos con revestimiento de cristal de zafiro, HDR, Filtro Hibrido IR, Modo Burst, Estabilizacion Automatica y Enfoque Automatico + Camara Frontal TrueDepth de 7MP f 2.2 con funciones Animoji y Memoji, HDR, Modo Burst y Estabilizacion Automatica
Frecuencia: 4G
Conectividad: Wi-Fi 802.11 ac con MIMO 2x2 - Bluetooth 5.0 - NFC con modo de lectura
Video: Calidad maxima de captura: 4K a 24, 25, 30 o 60 fps, Full HD 1080p a 25, 30 o 60 fps, Time Lapse, Slow Motion 1080p a 120 o 240 fps - Formatos HEVC y H.264
Sensor: Face ID - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 e Motion JPEG, HDR con contenido Dolby Vision y HDR10";7;7001;5219000;7307000
1134704;CELULAR IPHONE 12 PRO 6+128GB;"CELULAR IPHONE 12 PRO 6.1"" 6+128GB A2341";"Modelo : iPhone 12 Pro A2341
Memoria Interna: 128G
Memoria Ram: 6GB
Procesador Cpu: Neural Engine, Chip A14 Bionic
Sistema Operativo: iOS 14
Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnologia True Tone y revestimiento oleofobico
Camara: Principal Triple de 12MP, Ultra Wide f 2.4, lente de 5 elementos, y campo de vision de 120§, Wide f 1.6 lente de 7 elementos, y Telephoto f 2.0 con lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Conectividad: Wi?Fi 6 802.11ax con 2x2 MIMO - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K
Sensor: Face ID - LiDAR Scanner - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: Reproduce: HEVC, H.264, MPEG-4 Part 2 y Motion JPEG, HDR con contenido Dolby Vision, HDR10 y HLG";23;23006;9123000;12773000
1134704;CELULAR IPHONE 12 PRO 6+256GB;"CELULAR IPHONE 12 PRO 6.1"" 6+256GB A2341";"Modelo : iPhone 12 Pro A2341
Memoria Interna: 256G
Memoria Ram: 6GB
Procesador Cpu: Neural Engine, Chip A14 Bionic
Sistema Operativo: iOS 14
Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnologia True Tone y revestimiento oleofobico
Camara: Principal Triple de 12MP, Ultra Wide f 2.4, lente de 5 elementos, y campo de vision de 120§, Wide f 1.6 lente de 7 elementos, y Telephoto f 2.0 con lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Conectividad: Wi?Fi 6 802.11ax con 2x2 MIMO - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K
Sensor: Face ID - LiDAR Scanner - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: Reproduce: HEVC, H.264, MPEG-4 Part 2 y Motion JPEG, HDR con contenido Dolby Vision, HDR10 y HLG";23;23006;9921000;13890000
1137446;CELULAR IPHONE 12 PRO MAX 128G;"CEL IPHONE 12 PRO MAX 6.7""6+128G A2342 P";"Modelo : IPhone 12 Pro Max A2342
Memoria Interna: 128G
Memoria Ram: 6GB
Procesador Cpu: Neural Engine, Chip A14 Bionic
Sistema Operativo: iOS 14
Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnologia True Tone y revestimiento oleofobico
Camara: Principal Triple de 12MP, Ultra Wide f 2.4, lente de 5 elementos, y campo de vision de 120§, Wide f 1.6 lente de 7 elementos, y Telephoto f 2.0 con lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Conectividad: Wi?Fi 6 802.11ax con 2x2 MIMO - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K
Sensor: Face ID - LiDAR Scanner - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 y Motion JPEG, HDR con contenido Dolby Vision, HDR10 y HLG";23;23006;9921000;13890000
1137514;CELULAR IPHONE 12 PRO MAX 256G;"CEL IPHONE 12 PRO MAX 6.7""6+256G A2342 P";"Modelo : IPhone 12 Pro Max A2342
Memoria Interna: 256G
Memoria Ram: 6GB
Procesador Cpu: Neural Engine, Chip A14 Bionic
Sistema Operativo: iOS 14
Pantalla: Super Retina XDR de 6.1"", OLED Hepatic Touch con Tecnologia True Tone y revestimiento oleofobico
Camara: Principal Triple de 12MP, Ultra Wide f 2.4, lente de 5 elementos, y campo de vision de 120§, Wide f 1.6 lente de 7 elementos, y Telephoto f 2.0 con lente de 6 elementos + Camara Frontal TrueDepth de 12MP f 2.2
Conectividad: Wi?Fi 6 802.11ax con 2x2 MIMO - Bluetooth 5.0 - NFC
Video: Calidad maxima de captura: 4K a 24, 30 fps y a 60 fps, HDR con Dolby Vision de hasta 60 fps, Slow Motion 1080p a 120 fps o en 240 fps - Permite capturar fotos de 8MP encuanto graba video en 4K
Sensor: Face ID - LiDAR Scanner - Barometro - Giroscopio - Acelerometro - Proximidad - Sensor de Luz Ambiente
Formato de Video: Reproduce: HEVC, H.264, MPEG-4 Part 2 y Motion JPEG, HDR con contenido Dolby Vision, HDR10 y HLG";23;23006;10736000;15031000
