Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
992657;IMPRESORA EPSON FX-890II ;IMPRESORA EPSON FX-890II USB PRE 2V SG;IMPRESORA EPSON FX-890II USB PRE 2V SG;31;31005;2901000;4062000
1155419;IMPRESORA HP 1000A LASER ;IMPRESORA HP 1000A LASER BRAN 220V SG;IMPRESORA HP 1000A LASER BRAN 220V SG;31;31005;1640000;2296000
1155426;IMPRESORA HP 1000W LASER;IMPRESORA HP 1000W LASER WIRE BRAN 220V;IMPRESORA HP 1000W LASER WIRE BRAN 220V;31;31005;1772000;2481000
1111163;IMPRESORA HP 107W LASER ;IMPRESORA HP 107W LASER WIRE BRAN 220V;IMPRESORA HP 107W LASER WIRE BRAN 220V;31;31005;866000;1212000
1155402;IMPRESORA HP MFP LASER WIRE;IMPRESORA HP MFP 1200W LASER WIRE 220V;IMPRESORA HP MFP 1200W LASER WIRE 220V;31;31005;2135000;2989000
1128550;IMPRESORA HP MFP 135W LASER ;IMPRESORA HP MFP 135W LASER 3EM1 WIR220;IMPRESORA HP MFP 135W LASER 3EM1 WIR220;31;31005;1111000;1555000
1155433;IMPRESORA HP PRO MFP M428;IMPRESORA HP PRO MFP M428FDW WIREL 220V;IMPRESORA HP PRO MFP M428FDW WIREL 220V;31;31005;3280000;4592000
920230;IMPRESORA INTERMEC PC43T ;IMPRESORA INTERMEC PC43T USB PRETO;IMPRESORA INTERMEC PC43T USB PRETO;31;31005;3008000;4212000
1162875;NOTEBOOK ASUS E410MA N4020;"NOTEBOOK ASUS E410MA-211 N4020 4G/64GB/14""PRE";"NOTEBOOK ASUS E410MA-211 N4020 4G/64GB/14""PRE";31;31004;2349000;3289000
1162844;NOTEBOOK ASUS F515JA;"NOTEBOOK ASUS F515JA-AH31 I3 1005G1 4/128/15""C";"NOTEBOOK ASUS F515JA-AH31 I3 1005G1 4/128/15""C";31;31004;3833000;5365000
1154955;NOTEBOOK ASUS R214NA;NOTEBOOK ASUS R214NA-EH015TS N3350 4/64G/11.6C;NOTEBOOK ASUS R214NA-EH015TS N3350 4/64G/11.6C;31;31004;2679000;3750000
1162837;NOTEBOOK DELL 15-3593 I3 ;"NOTEBOOK DELL 15-3593 I3 1005G1 4G/128G/15.6""P";"NOTEBOOK DELL 15-3593 I3 1005G1 4G/128G/15.6""P";31;31004;3874000;5423000
1155686;NOTEBOOK HP 15-DW1024WM I3 ;"NOTEBOOK HP 15-DW1024WM I3 10110U 4/128/15.6""S";"NOTEBOOK HP 15-DW1024WM I3 10110U 4/128/15.6""S";31;31004;3503000;4904000
1133196;NOTEBOOK HP 15-DW1081WM ;"NOTEBOOK HP 15-DW1081WM 6405U 4G/500G/15.6""VRM";"NOTEBOOK HP 15-DW1081WM 6405U 4G/500G/15.6""VRM";31;31004;3132000;4385000
1133172;NOTEBOOK LENOVO 14W-81MQ;"NOTEBOOK LENOVO 14W-81MQ A6-9220C 4G/64G/14""PR";"NOTEBOOK LENOVO 14W-81MQ A6-9220C 4G/64G/14""PR";31;31004;2432000;3404000
1156218;NOTEBOOK LENOVO 81JW ;"NOTEBOOK LENOVO 81JW S330 CHROME 4GB/32GB/14""P";"NOTEBOOK LENOVO 81JW S330 CHROME 4GB/32GB/14""P";31;31004;2020000;2827000
1132373;NOTEBOOK LENOVO 81W8 -I3;"NOTEBOOK LENOVO 81W8 1005G1 I3 4/128G/15.6""VIN";"NOTEBOOK LENOVO 81W8 1005G1 I3 4/128G/15.6""VIN";31;31004;3503000;4904000
1156201;NOTEBOOK LENOVO 81WD -I5;"NOTEBOOK LENOVO 81WD 1035G1 I5 8GB/512G/14""CI";"NOTEBOOK LENOVO 81WD 1035G1 I5 8GB/512G/14""CI";31;31004;4533000;6346000
1153835;NOTEBOOK LENOVO 81WE -I3;"NOTEBOOK LENOVO 81WE 1005G1 I3 4G/128G/15.6""DO";"NOTEBOOK LENOVO 81WE 1005G1 I3 4G/128G/15.6""DO";31;31004;3503000;4904000
1158328;NOTEBOOK LENOVO 81X2 ;"NOTEBOOK LENOVO 81X2 14ARE05 4300U 4/128G/14""C";"NOTEBOOK LENOVO 81X2 14ARE05 4300U 4/128G/14""C";31;31004;3750000;5250000
1162868;NOTEBOOK LENOVO 81YH I5 ;"NOTEBOOK LENOVO 81YH 1035G1 I5 8G/256G/14""PRE";"NOTEBOOK LENOVO 81YH 1035G1 I5 8G/256G/14""PRE";31;31004;4615000;6461000
