1;nom;nom largo;detalle;fam;clase;costo;Lista 
11868;LICUADORA OSTER BLSTPYG1210RBG;LICUADORA J.DE VIDRIO OSTER BLSTPYG1210RBG-053 15LTS+BLENDNGO ROJO MOTOR REVERS;Licuadora J.De Vidrio Oster Blstpyg1210Rbg-053 15Lts+Blendngo Rojo Motor Revers;1;1003;898000;1258000
5956;LICUADORA OSTER XPERT 2L;LICUADORA OSTER XPERT BLSTVB-G00-051 VASO DE VIDRIO 2L 8TAZAS;Licuadora Oster Xpert Blstvb-G00-051 Vaso De Vidrio 2L 8Tazas;1;1003;1714000;2400000
11865;LICUADORA OSTER 1.5 LTS 2 VEL ;LICUADORA OSTER 1.5 LTS 2 VEL J.VIDRIO BLSTKAG-RRD-053 ROJO;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Blstkag-Rrd-053 Color Disponible Rojo - Blanco;1;1003;397000;556000
11863;LICUADORA OSTER 1.5 LTS PRO;LICUADORA OSTER BLSTBPST-053 1.5 LTS JARRA DE VIDRIO 700WTS PROFESIONAL;Licuadora Oster Blstbpst-053 1.5 Lts Jarra De Vidrio 700Wts Profesional;1;1003;688000;964000
11850;COCINA GAS JAM 4H MESA LAGUNA;COCINA A GAS JAM 4H DE MESA MOD.  LAGUNA ;Cocina A Gas Jam 4H De Mesa Mod.  Laguna Color Disponible Negro Blanco;15;15006;300000;420000
11841;EXHIBIDORA UGUR 372L;EXHIBIDORA UGUR USS 374 DTKL SZ-BAJO CERO C/ CENEFA, LUZ LED, IND.TEMP 372 LTS;Exhibidora Ugur Uss 374 Dtkl Sz-Bajo Cero C/ Cenefa, Luz Led, Ind.Temp 372 Lts;5;5004;5300000;7420000
11836;COCINA A GAS JAM COMBI TIT 4H;COCINA A GAS JAM MOD COMBI TITANIO GRIS 4H;Cocina A Gas Jam Mod Combi Titanio Gris 4H;15;15006;690000;966000
11835;COCINA A GAS JAM LUXUS 4H;COCINA A GAS JAM MOD LUXUS TITANIUM GRIS 4 H;Cocina A Gas Jam Mod Luxus Titanium Gris 4 H;15;15006;545000;763000
11834;COCINA A GAS JAM ESTANDAR 4H;COCINA A GAS JAM ESTANDAR NEGRA 4H;Cocina A Gas Jam Estandar Negra 4H;15;15006;500000;700000
11833;COCINA A GAS JAM ESTANDAR 4H;COCINA A GAS JAM. MOD ESTANDAR 4H BLANCO;Cocina A Gas Jam. Mod Estandar 4H Blanco;15;15006;500000;700000
11818;LICUADORA  OSTER 1.5L REVERS;LICUADORA JARRA DE VIDRIO OSTER BLSTPYG1211-NBG-053 15LTS+BLENDNGO MOTOR REVERS;Licuadora Jarra De Vidrio Oster Blstpyg1211-Nbg-053 15Lts+Blendngo Motor Revers;1;1003;898000;1258000
11817;PLANCHA VAPOR OSTER 2200W;PLANCHA VAPOR OSTER GCSTSP6202-053 2200W;Plancha Vapor Oster Gcstsp6202-053 2200W Color Disponible Verde/Blanco Azul/Blanco ;13;13003;354000;496000
11815;PLANCHA VAPOR OSTER  2200WTS;PLANCHA VAPOR OSTER GCSTSP6204-053 2200WTS;Plancha Vapor Oster Gcstsp6204-053 2200Wts;13;13003;379000;531000
11813;HERVIDOR OSTER ELECTRICO 1.7 L;HERVIDOR ELECTRICO 17 LTS OSTER BVSTKT673SS;Hervidor Electrico 17 Lts Oster Bvstkt673Ss;1;1011;284000;398000
11812;BATIDORA DE MANO Y PEDESTAL;BATIDORA DE MANO Y PEDESTAL OSTER 002610-051-000 TAZON DE PLASTICO 250W 2.5 LTS;Batidora De Mano Y Pedestal Oster 002610-051-000 Tazon De Plastico 250W 2.5 Lts;1;1004;477000;668000
11808;COCINA  ANAFE JAM 5H EVA PREM;COCINA  ANAFE JAM 5H EVA PREMIUM EMPOTRABLE  VIDRIO NEGRO;Cocina  Anafe Jam 5H Eva Premium Empotrable  Vidrio Negro;15;15002;750000;1050000
11807;COCINA  ANAFE JAM 4H EVA EMPOT;COCINA  ANAFE JAM 4H EVA PREMIUM EMPOTRABLE  VIDRIO NEGRO;Cocina  Anafe Jam 4H Eva Premium Empotrable  Vidrio Negro;15;15002;625000;875000
11755;CONGELADOR UGUR 220L;CONGELADOR UGUR UDD 260 BK - 220 LTS 1T;Congelador Ugur Udd 260 Bk - 220 Lts 1T;5;5002;2150000;3010000
11754;CONGELADOR UGUR 510L;CONGELADOR UGUR UDD 560 BK - 510LTS 1T;Congelador Ugur Udd 560 Bk - 510Lts 1T;5;5002;3300000;4620000
11753;CONGELADOR UGUR 410L;CONGELADOR UGUR UDD 460 BK - 410LTS 1T;Congelador Ugur Udd 460 Bk - 410Lts 1T;5;5002;3100000;4340000
11752;CONGELADOR UGUR 320L;CONGELADOR UGUR UDD 360 BK - 320LTS 1T;Congelador Ugur Udd 360 Bk - 320Lts 1T;5;5002;2485000;3479000
11751;BIBLIOTECA  POLITORNO ;BIBLIOTECA  POLITORNO CON PUERTAS 200076- CASTANHO 2 PUERTAS 3 COMPARTIMIENTOS;Biblioteca  Politorno Con Puertas 200076- Castanho 2 Puertas 3 Compartimientos;2;2004;490000;686000
11661;ZAPATERO POLITORNO FLORIANO ;ZAPATERO POLITORNO FLORIANO 200064 CON ESPEJO - BLANCO;Zapatero Politorno Floriano 200064 Con Espejo - Blanco;2;2002;580000;812000
11642;HORNO ELECT JAM SIRIUS 70L;HORNO ELECTRICO JAM SIRIUS 70L.PANEL COLOR INOX HE-70IX.120M.300ùC.1800W;Horno Electrico Jam Sirius 70L.Panel Color Inox He-70Ix.120M.300ùc.1800W;15;15002;870000;1218000
11623;COCINA  VITRO JAM AM IF401;COCINA  VITROCERAMICA JAM ANAFE AM-IF401 4 HORNALLAS;Cocina  Vitroceramica Jam Anafe Am-If401 4 Hornallas;15;15004;1050000;1470000
11613;SPLIT  JAM 60.000BTU F/C ECO;AIRE ACONDICIONADOR JAM 60.000BTU F/C JF-60HRN1 DESC. HORIZ. 380V/50HZ- R410A ECO;Aire Acondicionador Jam 60.000Btu F/C Jf-60Hrn1 Desc. Horiz. 380V/50Hz- R410A Eco;25;25004;9200000;12880000
11611;SPLIT  JAM 24.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 24.000BTU F/C JF-24CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;Aire Acondicionador Jam 24.000Btu F/C Jf-24Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;4000000;5600000
11610;SPLIT  JAM 18.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 18.000BTU F/C JF-18CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;Aire Acondicionador Jam 18.000Btu F/C Jf-18Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;2900000;4060000
