Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle;Familia;Clase ;Costo ;Precio Lista
1112634;Plancha Vertical Quanta ;Plancha Vertical A Vapor Quanta Qtpvp20 Tanque De 250 Ml 220V  50   60 Hz  Blanca;"Modelo:  Qtpvp20 
Color: Blanco Azul
Potencia: 1200 Watts
Caracteristicas: Plancha Vertical A Vapor , Se Calienta Rapidamente, Facil Y Comodo De Usar. Posee Proteccion Del Termostato Y Contra Supercalentamiento Del Fusible  Precalentamiento En 40 Segundos  Velocidad Del Vapor: 20 G Minuto
Capacidad: 250Ml Litros";13;13003;133.000; 186.000   
1152098;Dispensador Electrico De Agua ;Dispensador Electrico Para Galones De Agua Satellite Ap24  Negro;"Modelo:  Ap24
Color: Negro
Potencia: 4 Watts
Caracteristicas: Registra El ultimo Valor Del Volumen De Agua Bombeada. Salida De Agua En Acero Inoxidable  Con Base En La Estructura Para Recipiente (Vaso) Donde Sera Servida El Agua
Bateria: 1.200 Mah";44;1;115.000; 161.000   
1008241;Calefactor Quanta Qtacv20 ;Calefactor Quanta Qtacv20 1.500 Watts Com Termostato Ajustable 100V  60Hz  Blanco;"Modelo:  Qtacv20
Color: Blanco
Potencia: Ajustable Segun El Calor: Hasta 1.500 Watts
Caracteristicas: Termostato Ajustable  Proteccion Contra Sobrecalentamiento. 3 Niveles De Temperatura Ajustables
";25;25005;106.000; 149.000   
1016529;Calefactor Mondial Termo Cera.;Calefactor Mondial Termo Ceramic Premium A05 1.500 Watts 127V  60Hz  Plata   Negro;"Modelo:  Termo Ceramic Premium A05
Color: Plata Negro
Potencia: 1.500 Watts
Temperatura: 2 Niveles De Calefaccion Y 1 De Ventilacion
Caracteristicas: Termostato Ajustable  Posee Resistencia De Ceramica Para Rapido Calentamiento  Integra Manija En La Parte Trasera Para Facilitar El Transporte
";25;25005;159.000; 223.000   
1021202;Calefactor Mondial A06 ;Calefactor Mondial A06 1.500 Watts Con Termostato Ajustable 127V  60Hz  Negro   Plata;"Modelo:  A06
Color: Negro Plata
Potencia: Ajustable, Segun El Calor: 600, 900 Y 1.500 Watts
Temperatura: Ajustable
Caracteristicas: Posee Manija Y Rueditas Que Facilitan El Transporte O El Desplazamiento Entre Ambientes Diferentes  Con Espacio Para Guardar El Cable De Energia
";25;25005;302.000; 423.000   
1021059;Cafetera Mondial Espresso ;Cafetera Mondial Espresso Coffee Cream C08 800 Watts 220V  50   60 Hz  Negra   Plata;"Modelo:  Espresso Coffee Cream C08
Color: Negro Plata
Potencia: Maxima 800 Watts  Ajustable Segun La Intensidad Del Calor
Capacidad: 2 Litros
Caracteristicas: Permite Preparar Dos Tazas De Cafe Simultaneamente  Valvula De Vapor Integrada  Posee Reservorio De Agua Extraible Para Facilitar La Reposicion E Higienizacion
";1;1016;565.000; 791.000   
960472;Freidora Electrica Mondial ;Freidora Electrica Mondial Family Af19 1.500 Watts 127V  60Hz  Negra   Plata;"Modelo:  Family Af19
Color: Negro Plata
Potencia: 1.500 Watts
Temperatura: Ajustable, Maxima De 200 C
Caracteristicas: Prepare Nuggets, Pescado, Carne, Pan De Queso, Papas Fritas, Entre Otros Alimentos Similares. Cuenta Con Panel Digital Sensible Al Tacto Para Ajuste De Tiempo Y Temperatura  No Necesita Aceite  Emite Alerta Sonoro Cuando Finaliza El Tiempo De Funcionamiento Determinado  Se Apaga Automaticamente  Recipiente Y Cesto Extraibles Para Facil Limpieza  Con Indicadores De Tiempo Y De Temperatura
Capacidad: 3.2 Litros
";1;1002;621.000; 870.000   
1045239;Rebanadora Mondial Mf01 ;Rebanadora Mondial Mf01 175 Watts Con Cuchilla En Acero Inoxidable 220V  50   60 Hz  Gris;"Modelo:  Mf01
Color:Gris
Potencia: 175 Watts
Caracteristicas: Rebane Queso, Jamon, Carnes, Frutas, Panes Entre Otros Alimentos. Integra Control De Ajuste De Espesor: 1   15 Mm  Plataforma Deslizante E Base Con Ventosas Para Fijar El Aparato Sobre Superficies Planas. Con Cuchilla De Acero Inoxidable";1;1014;587.000; 822.000   
997911;Olla A Presion Elec. Mondial ;Olla A Presion Electrica Mondial Master Cooker Pe39 900 Watts 5 Litros 220V  50   60 Hz  Roja   Negra;"Modelo:  Master Cooker Pe39
Color: Rojo Negro
Potencia: 900 Watts
Capacidad: 5 Litros
Caracteristicas: Posee 14 Funciones Programables  Panel Con Control Digital  Tapa Con Manija Y Traba De Seguridad  Valvula De Control De Presion  Interior Con Revestimiento Antiadherente
Temporizador: Programable Para Iniciar La Preparacion Con Hasta 24 Horas De Anticipacion
";15;15007;469.000; 657.000   
1012002;Parrilla Electrica Britania ;Parrilla Electrica Britania Gourmet Cgb4 1.500 Watts 127V 60Hz  Negra   Plata;"Modelo:  Gourmet Cgb4
Color: Negro Plata
Potencia: 1.500 Watts
Temperatura: Ajustable Segun La Necesidad Del Alimento A Ser Preparado
Caracteristicas: Rejilla Con Regulacion De Altura  Integra Manija Para Facilitar El Manejo  Bandeja Con Colector De Grasa Y Deposito De Agua  Soporte Con Estante  De Facil Higienizacion
";15;15001;257.000; 360.000   
853088;Olla De Arroz Elec. Mondial ;Olla De Arroz Electrica Mondial Pratic 6 Pe35 500 Watts 127V  60Hz  Roja   Plata;"Modelo:  Gourmet Cgb4
Color: Negro Plata
Potencia: 1.500 Watts
Temperatura: Ajustable Segun La Necesidad Del Alimento A Ser Preparado
Caracteristicas: Rejilla Con Regulacion De Altura  Integra Manija Para Facilitar El Manejo  Bandeja Con Colector De Grasa Y Deposito De Agua  Soporte Con Estante  De Facil Higienizacion
";15;15007;221.000; 310.000   
892070;Maquina De Palomitas Megastar ;Maquina De Palomitas Megastar Ps338 1.200 Watts 220V  50   60 Hz  Roja   Dorada;"Modelo:  Ps338
Color: Rojo Dorado
Potencia: 1.200 Watts
Caracteristicas: Preparacion Instantanea De Pororo Sin Necesidad De Aceite  Bocal Direccionador  De Facil Higienizacion
";1;1009;213.000; 298.000   
