Codigo Proveedor ;Nombre Producto;descripcion larga ;Detalle ;familia ;clase;costo ;lista 
todocost1;Maq Coser Willpex Perf Wp7000;Maq De Coser Familiar Willpex Perfect Wp7000I;"100 Puntadas, Maquina Digital
Prensatela De Teflon (Para Coser Cuero)
Prensatela Plisadora (Fruncidor Con Pliegues De Varias Medidas)
Prensatela De Quilting (Para Realizar Costura Libre O Bordado Manual)
Prensatela Dobladillo (Para Dobladillado De Medida 1/8"")
Prensatela De Acolchado (Patchwork, Para Coser Edredones)
Ojal 1 Solo Paso
Ancho Y Largo De Puntada Ajustable
Brazo Libre
Enhebrador Automatico
Incluye Luz Led
Pega Boton, Cierre";35;35015;1900000;1976000
todocost2;Maq Coser Willpex Fash Wp2900;Maq De Coser Familiar Willpex Fashion Wp2900;"32 Puntadas, 
Prensatela De Teflon (Para Coser Cuero)
Prensatela Plisadora (Fruncidor Con Pliegues De Varias Medidas)
Prensatela De Quilting (Para Realizar Costura Libre O Bordado Manual)
Prensatela Dobladillo (Para Dobladillado De Medida 1/8"")
Prensatela De Acolchado (Patchwork, Para Coser Edredones)
Ojal 1 Solo Paso
Ancho Y Largo De Puntada Ajustable
Brazo Libre
Enhebrador Automatico
Incluye Luz Led
Pega Boton, Cierre";35;35015;1230000;1280000
todocost3;Maq Coser Willpex Gold Wp2205;Maq De Coser Familiar Willpex Gold Wp2205;"21 Puntadas
Incluye Kit De Costura De Regalo
Ojal Automatico 1 Paso
Enhebrador Automatico, Brazo Libre
Incluye Luz Led
Portabobina De Metal
Velocidad: 3.000 Rpm
Altura  De Prensatela: 13Mm
Lubricacion Automatica";35;35015;950000;988000
todocost4;Maq Coser Willpex  Wp3004;Maq De Coser Familiar Willpex Family Wp3004;"9 Puntadas
Ancho Y Largo De Puntada Ajustable
Brazo Libre
Incluye Luz Led
Ojal 4 Pasos, Brazo Libre 
Pega Boton, Cierre 
Crochet Y Portabobina De Metal";35;35015;795000;827000
todocost5;Maq Coser  Willpex Wp4720;Maq De Coser Familiar Willpex Rosse Wp4720;"15 Puntadas
Ojal Automatico 4 Paso
Incluye Costura Para Ruedo Invisible
Brazo Libre
Incluye Luz Led
Portabobina De Metal
Altura  De Prensatela: 13Mm";35;35015;750000;780000
todocost6;Overlock Willpex Wp334;Overlock Familiar (4 Hilos) Willpex Wp334;"4 Hilos, 2 Agujas
Incluye 4 Conos De Hilos De Regalo
Hace Feston 
Ancho De La Puntada: 3Mm A 6.7Mm
Largo De La Puntada: 1Mm A 4Mm
Altura De Prensatela Maximo: 4Mm";35;35015;1950000;2028000
todocost7;Collareta Willpex Pro Wp550;Collareta Familiar (4 Hilos) Willpex Profesional Wp550;"3 Agujas Y 4 Hilos
Largo De Puntada Ajustable: 0,5Mm A 4,0Mm
Luz Led Incluida
Diferencial De Arrastre Ajustable: 0,5 Mm A 2,0Mm
Velocidad: 1200 Puntadas Por Minuto";35;35015;2650000;2756000
todocost8;Collareta Y Overlock Willpex;Collareta (4 Hilos) Y Overlock (5 Hilos) Familiar Willpex Combo Pro Wp770;"Es Una Maquina Combinada Y Avanzada De Overlock Y Puntada De Recubrimiento De 5 Hilos, Que Permite A Los Usuarios Ampliar Sus Capacidades Profesionales Ilimitadas De Costura, Bies Y Dobladillo.
Maquina 2 En 1: Overlock 5 Hilos Y Collareta 4 Hilos
Diferencial De Arrastre: 0.5 A 2 Mm
20 Programas De Costura Incluida En La Maquina
Largo De Puntada: 0,5 A 5Mm
Doble Luz Led Incluida
Velocidad: 1200 Puntadas Por Minuto";35;35015;4100000;4264000
todocost9;Maquina Coser Brother Js2135;Maquina De Coser Familiar Brother Js2135;"14 Puntadas De Costura Incorporada
Ojal En 4 Pasos
Bobina Horizontal
Luz Led De Alta Duracion
Largo Max. De Puntada 4 Mm
Ancho Max. De Puntada 5 Mm
Brazo Para Costura Tubular";35;35015;1195000;1243000
todocost10;Maq Coser Brother Bm2800;Maq De Coser Brother Bm2800;"63 Funciones De Costura
Brazo Libre, Enhebrador Automatico
Bobinado Rapido
Mesa Extensora (Opcional)
Luz Led
Ojal Automatico 1 Paso
Tecnologia Japonesa
Incluye Cd Instructivo";35;35015;1480000;1540000
