CONVERSOR DIGITALdigo Proveedor ;Nombre ;Detalle;Descripcion Larga;Familia;Clase ;COSTO;Precio Lista
956697;"TELEVISOR HYUNDAI 50"" SMART 4K";"Modelo: HY50NTUB 
Conversor Digital
Resolucion de la pantalla SMART 4K Ultra HD
Pantalla LED de 50""
Sistema operativo basado en Linux  
Conectividad inalambrica Wifi
Interfaz: LAN  HDMI  Jack 3 5mm  AV  USB y Antena RF";"TELEVISOR HYUNDAI 50""HY50NTUB LED SMART LINUX+4K+Ultra HD Wi-Fi / HMDI / USB con Conversor Digital";9;9001;3132000;4.384.800
956741;"TELEVISOR HYUNDAI 55"" SMART 4K";"Modelo: HY55NTUB 
Conversor Digital
Resolucion de la pantalla 4K Ultra HD
Pantalla LED de 55""
Sistema operativo basado en Linux  
Conectividad inalambrica Wifi
Interfaz: LAN  HDMI  Jack 3 5mm  AV  USB y Antena RF";"TELEVISOR HYUNDAI 55""HY55NTUB LED SMART LINUX+4K Ultra HD Wi-Fi / HDMI / USB con Conversor Digital";9;9001;3768000;5.275.200
1084245;"TELEVISOR LG 32"" SMART";"Modelo: LM630BPSB 
HDMI / USB con Convertidor Digital 
Pantalla: LED de 32""
Resolucion maxima: HD 1366 x 768p 
Formatos HDR: HDR 10 Pro  HLG
Sistema operativo: webOS Smart TV
Sonido: Virtual Surround Plus
Conectividad: Wifi  Bluetooth";"TELEVISOR LG 32"" 32LM630BPSB SMART Bluetooth HDMI / USB con Convertidor Digital";9;9001;1867000;2.613.800
1179712;"TELEVISOR LG 43"" SMART 4K";"Modelo: 43LM6300PSB 
Conversor Digital 
Pantalla: LED IPS de 43""
Resolucion maxima: SMART 
Frecuencia de refresco: 60 Hz
Sistema operativo: webOS AI ThinQ
Sonido: Ultra Surround
Conectividad: Wifi  Bluetooth";"TELEVISOR LG 43"" 4343LM6300PSB SMART Bluetooth HDMI / USB con Conversor Digital";9;9001;2758000;3.861.200
1135039;"TELEVISOR LG 43"" SMART 4K";"Modelo: 43UN7300PSC
Conversor Digital 
Pantalla: LED IPS de 43""
Resolucion maxima: SMART 4K Ultra HD 3840 x 2160p
Frecuencia de refresco: 60 Hz
Sistema operativo: webOS AI ThinQ
Sonido: Ultra Surround
Conectividad: Wifi  Bluetooth";"TELEVISOR LG 43"" 43UN7300PSC SMART 4K-Ultra HD Bluetooth HDMI / USB con Conversor Digital";9;9001;3056000;4.278.400
1174366;"TELEVISOR LG 49"" SMART 4K";"Modelo: 49UN7100PSA
Tama¤o de pantalla: LED de 49""
Resolucion: Smart 4K Ultra HD de 3840x2160p
Conectividad: Wi-Fi y Bluetooth
Interfaz: HDMI  USB y RF In
";"TELEVISOR LG 49""49UN7100PSA SMART 4K Ultra HD Bluetooth HDMI / USB con Conversor Digital";9;9001;3479000;4.870.600
1177855;"TELEVISOR LG 50"" SMART 4K";"Modelo: 50UN8000PSB
Tama¤o de pantalla: LED de 50""
Resolucion: Smart 4K Ultra HD de 3840x2160p
Conectividad: Wi-Fi y Bluetooth
Interfaz: HDMI  USB y RF In
Tecnolog¡a: ThinQ AITama¤o de pantalla: LED de 50""";"TELEVISOR LG 50""50UN8000PSB SMART 4K Ultra HD Bluetooth HDMI / USB con Conversor Digital";9;9001;4074000;5.703.600
1179743;"TELEVISOR LG 55"" SMART 4K";"Modelo: 55UN7310PSC
Pantalla: LED de 55""
Resolucion maxima: 4K Ultra HD 3840 x 2160p
Formatos HDR: HDR 10 Pro  HLG
Sistema operativo: webOS Smart TV
Sonido: DTS Virtual
Conectividad: Wi-Fi  Bluetooth 5 0";"TELEVISOR LG 55"" 55UN7310PSC  SMART Ultra HD Wi-Fi / Bluetooth con Conversor Digital";9;9001;4837000;6.771.800
1172881;"TELEVISOR LG 60"" SMART";"Modelo: 60UN7310PSA 
Pantalla:LED de 60"" con Tecnologia IPS  Wide Viewing Angle
Resolucion maxima: 4K Ultra HD 3840 x 2160p
Formatos HDR: HDR 10 Pro  HLG
Sistema operativo: webOS Smart TV
Sonido: Ultra Surround Alto parlante integrado
Conectividad: Wi-Fi  Bluetooth 5 0";"TELEVISOR LG 60"" 60UN7310PSA  SMART Bluetooth HDMI / USB con Conversor Digital";9;9001;6026000;8.436.400
1179866;"TELEVISOR LG 70"" SMART";"Modelo:  70UN7310PSC
Pantalla:LED de 70"" con Tecnologia IPS  Wide Viewing Angle
Resolucion maxima: 4K Ultra HD 3840 x 2160p
Formatos HDR: HDR 10 Pro  HLG
Sistema operativo: webOS Smart TV
Sonido: Ultra Surround Alto parlante integrado
Conectividad: Wi-Fi  Bluetooth 5 0";"TELEVISOR LG 70""  70UN7310PSC SMART Bluetooth HDMI / USB con Conversor Digital";9;9001;9250000;12.950.000
