Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista
5586;Hervidora Jam 1.7L Blanca  ;Hervidora Jam 1.7L Blanca  Mod.Ck-1011;Hervidora Jam 1.7L Blanca  Mod.Ck-1011;1;1011;50.000;70.000
5585;Hervidora Jam 1.7L Inox ;Hervidora Jam 1.7L Inox Mod.Ck -1009A;Hervidora Jam 1.7L Inox Mod.Ck -1009A;1;1011;80.000;112.000
11460;Horno Electrico Jam 42L Timer ;Horno Electrico Jam 42Lts Dn42E-Rml Luz Int Spiedo Timer 120M 2000W;Horno Electrico Jam 42Lts Dn42E-Rml Luz Int Spiedo Timer 120M 2000W;15;15002;410.000;574.000
11461;Horno Electrico Jam 50L Timer ;Horno Electrico Jam 50 Lts Dn50E-Rml C/ Luz Interna, Spiedo, Timer 120Min 2200W;Horno Electrico Jam 50 Lts Dn50E-Rml C/ Luz Interna, Spiedo, Timer 120Min 2200W;15;15002;570.000;798.000
11462;Horno Electrico Jam 60 LTimer ;Horno Electrico Jam 60 Lts Dn60E-Rml C/ Luz Interna, Spiedo, Timer 120Min 2200W;Horno Electrico Jam 60 Lts Dn60E-Rml C/ Luz Interna, Spiedo, Timer 120Min 2200W;15;15002;630.000;882.000
11391;Horno Jam Empotrable 60I Inox ;Horno Jam Empotrable Bo-60Ix Inox Temp 240°C. Timer 90 Min. 5 Func. C/ Bandeja;Horno Jam Empotrable Bo-60Ix Inox Temp 240°C. Timer 90 Min. 5 Func. C/ Bandeja;15;15002;1.400.000;1.960.000
11392;Horno Jam Empotrable 60l Ng ;Horno Jam Empotrable Bo-60Ng Negro Temp 250°C. Timer 90 Min. 9 Func. C/ Bandeja;Horno Jam Empotrable Bo-60Ng Negro Temp 250°C. Timer 90 Min. 9 Func. C/ Bandeja;15;15002;1.500.000;2.100.000
9926;Lavadora A Paleta Jam ;Lavadora A Paleta Jam Mod. 56Rb;Lavadora A Paleta Jam Mod. 56Rb;13;13001;545.000;763.000
11648;Lavarropas Jam Aut. 6,5Kg;Lavarropas Jam Automatica Mimbi 6,5Kg;Lavarropas Jam Automatica Mimbi 6,5Kg;13;13001;1.490.000;2.086.000
10484;Lavarropas Jam Aut.  7Kg;Lavarropas Jam Automatico Alba 7Kg, Carga Superior ,Blanco;Lavarropas Jam Automatico Alba 7Kg, Carga Superior ,Blanco;13;13001;1.360.000;1.904.000
11596;Licuadora Jam  Inox C/Vidrio;Licuadora Jam Lic-650W Base Inox Con Jarra De Vidrio;Licuadora Jam Lic-650W Base Inox Con Jarra De Vidrio;1;1003;185.000;259.000
3912;Microondas Jam 20L Inox ;Microondas Jam 20Lts Mod Ag720C3D Panel Digital, Espejado Inox Con Grill;Microondas Jam 20Lts Mod Ag720C3D Panel Digital, Espejado Inox Con Grill;15;15003;490.000;686.000
10735;Microondas Jam 20L Bco ;Microondas Jam 20Lts. Mod. Mb720Jay Blanco C/ Luz Interna  700W 230V/50Hz;Microondas Jam 20Lts. Mod. Mb720Jay Blanco C/ Luz Interna  700W 230V/50Hz;15;15003;365.000;511.000
9451;Microondas Jam 25L  Inox ;Microondas Jam 25Lts. Mod. Am925Akn Panel Digital Frente De Acero Inox 900W;Microondas Jam 25Lts. Mod. Am925Akn Panel Digital Frente De Acero Inox 900W;15;15003;515.000;721.000
1896;Microondas Jam 36L Bco ;Microondas Jam 36Lts Mod Ag036Afk Grill Blanco Cristal De Puerta 1000W 230V/50Hz;Microondas Jam 36Lts Mod Ag036Afk Grill Blanco Cristal De Puerta 1000W 230V/50Hz;15;15003;655.000;917.000
10736;Microondas Jam 36L Espejada ;Microondas Jam 36Lts Mod Ax360Jmk Grill Silver Puerta Espejada 1000W 230V/50Hz;Microondas Jam 36Lts Mod Ax360Jmk Grill Silver Puerta Espejada 1000W 230V/50Hz;15;15003;700.000;980.000
