Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista;
4376;Horno Elect. Oster 10 L;Horno Elect. Oster 10 Lts Tssttv10Ltb-053 Plateado Cronometro 30Min 90/230°C;Horno Elect. Oster 10 Lts Tssttv10Ltb-053 Plateado Cronometro 30Min 90/230°C;15;15002;395040;553056;
11672;Horno Tostador Oster 22L;Horno Tostador Oster 22Lts C/Timer Tssttvmaf1-053;Horno Tostador Oster 22Lts C/Timer Tssttvmaf1-053;15;15002;1564644;2190501,6;
5447;Licuadora  Oster  1,5L Rojo;Licuadora  Oster  1,5Lts Blstmg-Rd0-051 De 8 Veloc. 450 W Color Rojo;Licuadora  Oster  1,5Lts Blstmg-Rd0-051 De 8 Veloc. 450 W Color Rojo;1;1003;381744;534441,6;
11819;Licuadora  Oster 1,5L ;Licuadora Jarra De Vidrio Oster Blstpyg1209B-053 1,5Lts ;Licuadora Jarra De Vidrio Oster Blstpyg1209B-053 1,5Lts Reversible;1;1003;734517;1028323,8;
11818;Licuadora  Oster 1.5L Revers;Licuadora Jarra De Vidrio Oster Blstpyg1211-Nbg-053 1,5Lts+Blendngo Motor ;Licuadora Jarra De Vidrio Oster Blstpyg1211-Nbg-053 1,5Lts+Blendngo Motor Revers;1;1003;897816;1256942,4;
10225;Licuadora Oster Xpert;Licuadora Oster Xpert Alto Desemp. Vaso Tritan Blstvb-P00-051;Licuadora Oster Xpert Alto Desemp. Vaso Tritan Blstvb-P00-051;1;1003;1676369;2346916,6;
5956;Licuadora Oster Xpert 2L;Licuadora Oster Xpert Blstvb-G00-051 Vaso De Vidrio 2L 8Tazas;Licuadora Oster Xpert Blstvb-G00-051 Vaso De Vidrio 2L 8Tazas;1;1003;1713634;2399087,6;
4480;Licuadora Oster 1,25L;Licuadora Oster 004134-053-000 3V 600W 1,25Lts Jarra Vidrio Tritura Hielo. Colores Variados ;Licuadora Oster 004134-053-000 3V 600W 1,25Lts Jarra Vidrio Tritura Hielo Azul;1;1003;594548;832367,2;
4117;Licuadora Oster 1.5 L;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Bpst02-B00-053 Profesional;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Bpst02-B00-053 Profesional;1;1003;670572;938800,8;
4025;Licuadora Oster 1,5 L Negro;Licuadora Oster 1,5 Lts 8 Vel Blstmg-B00-051 450W Vidrio. Colores variados;Licuadora Oster 1,5 Lts 8 Vel Blstmg-B00-051 450W Color Negro J. Vidrio;1;1003;381744;534441,6;
4213;Licuadora Oster 1.5L Calypso;Licuadora Oster 1.5Lts 8 Veloc. Jarra De Vidrio Blstmg-T15-051 Color Calypso;Licuadora Oster 1.5Lts 8 Veloc. Jarra De Vidrio Blstmg-T15-051 Color Calypso;1;1003;381744;534441,6;
4118;Licuadora Oster 3 Vel ;Licuadora Oster 3 Vel V.Vidrio 600W 004655-053-000 colores variados;Licuadora Oster 3 Vel V.Vidrio 600W 004655-053-000 Gris;1;1003;594549;832368,6;
10337;Plancha A Vapor Oster Verde;Plancha A Vapor Oster Gcstb5903-053 1600W Base Antiadherente , Rociador varios colores;Plancha A Vapor Oster Gcstb5903-053 1600W Base Antiadherente Verde, Rociador;13;13003;149146;208804,4;
1901;Plancha De Vapor Oster  ;Plancha De Vapor Oster Gcstbs4801L-053 Base Antiadherente/1200W/Colores variados;Plancha De Vapor Oster Gcstbs4801L-053 Base Antiadherente/1200W/Color Azul;13;13003;119346;167084,4;
4054;Sandwichera Oster C/Grill;Sandwichera Oster C/ Grill 1400W Ckstpa2880-053 Planchas Antiadherentes;Sandwichera Oster C/ Grill 1400W Ckstpa2880-053 Planchas Antiadherentes;1;1005;335309;469432,6;
4055;Sandwichera Oster ;Sandwichera Oster Plato Removible 700W Ckstsm3891-053 2 Panes;Sandwichera Oster Plato Removible 700W Ckstsm3891-053 2 Panes;1;1005;271951;380731,4;
11812;Batidora De Mano Y Pedestal;Batidora De Mano Y Pedestal Oster 002610-051-000 Tazon De Plastico 250W 2.5 Lts;Batidora De Mano Y Pedestal Oster 002610-051-000 Tazon De Plastico 250W 2.5 Lts;1;1004;476824;667553,6;
11546;Cafetera Oster 12 Tazas ;Cafetera Oster 12 Tazas Bvstdcdw12R-057-1 Incluye Filtro Permanente;Cafetera Oster 12 Tazas Bvstdcdw12R-057-1 Incluye Filtro Permanente;1;1016;261326;365856,4;
11605;Mixer High Power ;Mixer High Power Fpsthb2801-057 800Wts C/ Kit Accesorios;Mixer High Power Fpsthb2801-057 800Wts C/ Kit Accesorios;1;1008;723948;1013527,2;
11547;Tostadora Oster Square;Tostadora Oster Square Retro Tssttrwa2R-057-1 Rojo 680W;Tostadora Oster Square Retro Tssttrwa2R-057-1 Rojo 680W;1;1005;331327;463857,8;
4554;Exhibidora Imbera 540 L;Exhibidora Imbera G319 1P  540 L. Led Perimetral Temperatura Media +4°  A  +10°;Exhibidora Imbera G319 1P  540 L. Led Perimetral Temperatura Media +4°  A  +10°;5;5004;8550000;11970000;
4552;Exhibidora Imbera 5P;Exhibidora Imbera G342 5P 1166 Lts Led Perimetral Temperatura Media 0° A +2°;Exhibidora Imbera G342 5P 1166 Lts Led Perimetral Temperatura Media 0° A +2°;5;5004;19500000;27300000;
19011;Freezer Gelopar  220 L;Freezer Gelopar Tapa Ciega Ghbs-220 Color Blanco 1T 220 Lts;Freezer Gelopar Tapa Ciega Ghbs-220 Color Blanco 1T 220 Lts;5;5002;2010000;2814000;
9590;Cervecero Gelopar  228 L;Cervecero Gelopar  228 Lts Grba-230 Ev Gw Puerta De Vidrio;Cervecero Gelopar  228 Lts Grba-230 Ev Gw Puerta De Vidrio;5;5004;5800000;8120000;
