Codigo Proveedor ;Nombre Producto;largo nombre ;descripcion larga ;Detalle ;familia ;clase;costo ;lista 
todocost17;Recta Industrial Gemsy Gem8900;30;Recta Industrial (Mecanica : Liviana) Gemsy Gem8900;"Recta Mecanica
1 Aguja
Para Tejido Liviano
Lubricacion Automatica
Largo De Puntada: 5Mm";35;35015;1990000;2786000
todocost18;Overlock Industrial 5 Hilos Gemsy-Gem757F;41;Overlock Industrial (Normal) 5 Hilos Gemsy-Gem757F;"5 Hilos, 2 Agujas
Puntada: Surfilado
Lubricacion Automatica";35;35015;3100000;4340000
todocost19;Collareta Gemsy-Gem500B-01;26;Collareta (Normal) Gemsy-Gem500B-01;"Plana
5 Hilos, 3 Agujas
Distancia Entre Agujas: 6.4Mm
Puntada Cadena (Con Recubierto)";35;35015;4200000;5880000
todocost20;Recta Jack F4 ;14;Recta (Liviana) Jack F4 (Motor Incorporado);"Recta Industrial
Para Tejidos Livianos E Intermedio
Incluye Posicionador De Aguja
Incluye Motor Servo, Ahorra 80% De Energia, Velocidad Regulable
Panel Electronico Integrado En El Volante
Largo De Puntada: 5Mm
Incluye Luz Led
Velocidad: 5.000 Rpm";35;35015;2100000;2940000
todocost21;Overlock Jack E4-5-03/333 ;26;Overlock (5 Hilos) Jack E4-5-03/333 (Motor Incorporado);"5 Hilos, 2 Agujas
Puntada: Surfilado
Lubricacion Automatica
Motor Servo Direct Drive Incorporado En El Volante, Ahorra 80% De Energia, Silencioso Sin Correa";35;35015;3400000;4760000
todocost22;Collareta   Jack W4-D-01/02/03/08ž364 ;38;Collareta (Normal) Jack W4-D-01/02/03/08ž364 (Motor Incorporado);"5 Hilos, 3 Agujas
Cama Plana
Incluye Garfio De Recubierto
Motor Servo Direct Drive Incorporado, Ahorrar 80% De Energia, Silencioso Sin Correa.
Distancia Entre Agujas: 6.4Mm";35;35015;4530000;6342000
todocost23;Cortadora Circular Gemsy Rxm100;31;Cortadora Circular Gemsy De 4 Pulg Rxm100 (100W);"Portatil, 4 Pulgadas
Capacidad De Corte: 5,9Cm
Con Afilador Automatico";35;35015;595000;833000
todocost24;Cortadora Circular Willpex Y-120;32;Cortadora Circular Willpex De 5 Pulg Y-120;"Capacidad De Corte: 8Cm, 5 Pulgadas
Con Afilador Automatico";35;35015;1980000;2772000
todocost25;Cosedora De Bolsa Willpex Gk26-1A;33;Cosedora De Bolsa Willpex Gk26-1A;"1 Aguja  1 Hilo 
Puntada Cadena 
Especial Para Cerrar Bolsas De Carton, Alpillera, Etc 
Pedal Opcional
Portatil Lubricacion Automatica";35;35015;850000;1190000
todocost26;Cosedora De Bolsa Willpex-Gem26-2A;34;Cosedora De Bolsa (2 Agujas) Willpex-Gem26-2A;"2 Hilos,2 Agujas, Portatil, 
Mayor Resistencia En La Costura
Pedal Opcional
Opcional: Dobladillador Crepe";35;35015;2350000;3290000
todocost27;Plancha Tipo Prensa Willpex Wp562;33;Plancha Tipo Prensa Willpex Wp562;"Dimension: 34 Pulg.
A Vapor
Regulacion De Temperatura P/ Nylon, Licra, Algodon, Lino, Deposito De Agua Hasta 300Ml
Con Display Electronico
Mesada Opcional
Potencia: 1880W";35;35015;2150000;3010000
todocost28;Plancha A Vapor Vertical Willpex Suboom;39;Plancha A Vapor Vertical Willpex Suboom Sr-Ctc/918F;"A Vapor, Con Caldera
Util Para Cortinados Y Camisas 
Potencia: 1700W
Capacidad De Caldera: 4.7Kg
9 Potencias Regulable 
Regulacion Digital De Temperatura Y Potencia";35;35015;1200000;1680000
todocost29;Impresora Sublimacion Epson L3118 - 4 Colores;45;Impresora Sublimacion (A4) Epson L3118 - 4 Colores;"Area De Impresion Maxima 21 X 35 Cm
Incluye Funcion De Escaner
Resolucion: 5760 X 1440 Dpi De Resolucion Optimizada Para Varios Tipos De Papeles
Velocidad De Impresion: Documento Con Texto Negro Hasta 38Ppm
Documento Con Texto Color Hasta 15 Ppm
Capacidad De Hojas En Bandeja: 100 Hojas
Conectividad: Usb
Colores De Cartucho: Cyan, Negro, Magenta, Amarillo
Se Puede Utilizar Con Tinta Dye (Para Papel Normal) O Tinta De Sublimacion
No Incluye Tinta";35;35015;1760000;2464000
todocost30;Transfer Multifuncional Willpex Smc801;38;Transfer (8 En 1) Multifuncional Willpex Smc801 / Hm-Mcin1;"Rapido Y Facil De Cambiar
Temperatura Regulable
Dimensiones De La Plancha: 28X38Cm
Presion Regulable
Accesorios Incluidos: Plancha Transfer 38X28 : Plancha Tazas Rectas 11 Onzas : Molde De Resistencia Para Tazas Conicas 11 Onzas : Molde De Resistencia Para Tazas Conicas 17 Onzas : Molde De Resistencia Para Gorras : Molde De Resistencia Para Platos 12 Cm Diametro : Molde De Resistencia Para Platos 16 Cm.
Potencia De La Maquina: 1400 W";35;35015;2580000;3612000
todocost31;TransferMultifuncional Willpex;30;Transfer (11 En 1) Multifuncional Willpex P8200-11;"Rapido Y Facil De Cambiar
Temperatura Regulable
Dimensiones De La Plancha: 29X38Cm
Presion Regulable
Accesorios Incluidos: 
Plancha Transfer 38X28 
Plancha Tazas
Resistencia Para Tazas Conicas 12 Onzas 
Resistencia Para Tazas Conicas 17 Onzas 
Resistencia Para Tazas Recta 9 Onzas 
Resistencia Para Tazas Recta 6 Onzas 
Resistencia Para Tazas Recta 16 Cm Para Botellas
Resistencia Para 12 Boligrafos En Uno 
Resistencia Para Gorras 
Resistencia Para Platos 10"" Diametro 
Resistencia Para Platos 8"" Diametro
Potencia De La Maquina: 1200 W";35;35015;3150000;4410000
;;;;;;;;
;;;;;;;;
;;;;;;;;
