epcodi;epdesc;epdescl;epdescl;effami;efclas;Costo ;epprelis
com035;Amoladora Angular 2400W;"Amoladora Angular 2400W 230V 230Mm 9""";"Amoladora Angular 2400W 230V 230Mm 9""";35;35003;620000;868000
com036;Amoladora Angular 750W;Amoladora Angular 750W 230V 115Mm 4 1/2;Amoladora Angular 750W 230V 115Mm 4 1/2;35;35003;250000;350000
com037;Sierra Circular 1800W Daewoo;Sierra Circular 1800W Daewoo;Sierra Circular 1800W Daewoo;35;35005;699000;979000
com038;Atornillador Daewoo Litio;Atornillador Daewoo Litio 18V 18Pos 36Nm;Atornillador Daewoo Litio 18V 18Pos 36Nm;35;35007;401000;562000
com039;Pistola Pintar 400W 800Ml;Pistola Pintar 400W 800Ml (Cont.Plast);Pistola Pintar 400W 800Ml (Cont.Plast);35;35007;351000;491000
com040;Amoladora Angular 2400W 180Mm;Amoladora Angular 2400W 180Mm Arr Progre;Amoladora Angular 2400W 180Mm Arr Progre;35;35003;619000;867000
com041;Pistola De Calor 2000W Daewoo;Pistola De Calor 2000W Daewoo;Pistola De Calor 2000W Daewoo;35;35007;162000;226000
com042;Mini Torno Rotativo Enc ¼”;Mini Torno Rotativo Enc ¼” Daewoo;Mini Torno Rotativo Enc ¼” Daewoo;35;35007;297000;415000
com043;Pulidora Orbital 1400W Daewoo;Pulidora Orbital 1400W Daewoo;Pulidora Orbital 1400W Daewoo;35;35007;478000;669000
com044;Amoladora De Banco Daewoo;Amoladora De Banco Daewoo;Amoladora De Banco Daewoo;35;35003;340000;476000
com045;Atornillador 500W Daewoo;Atornillador 500W Daewoo;Atornillador 500W Daewoo;35;35007;353000;494000
com046;Sopladora Combustion 93Cc2;Sopladora Combustion 93Cc2T 0,13 M3/S;Sopladora Combustion 93Cc2T 0,13 M3/S;35;35007;982000;1374000
com047;Sierra Caladora 600W 355Mm;Sierra Caladora 600W 355Mm Daewoo;Sierra Caladora 600W 355Mm Daewoo;35;35007;306000;429000
com048;Amoladora De Banco Daewoo;Amoladora De Banco Daewoo Con Cinta;Amoladora De Banco Daewoo Con Cinta;35;35003;340000;476000
com049;Martillo Rotativo Daewoo 1500W;Martillo Rotativo Daewoo 1500W C/Maletin;Martillo Rotativo Daewoo 1500W C/Maletin;35;35007;628000;879000
com050;Taladro Percutor Revers 500W;Taladro Percutor Reversible 500W 2700Rpm;Taladro Percutor Reversible 500W 2700Rpm;35;35002;196000;274000
com051;Sopladora y Aspiradora iradora;Sopladora Y Aspiradora iradora De Hojas Daewoo;Sopladora Y Aspiradora iradora De Hojas Daewoo;35;35007;1070000;1497000
com052;Taladro De Pie 550W Daewoo;Taladro De Pie 550W Daewoo;Taladro De Pie 550W Daewoo;35;35002;1129000;1581000
com053;Sopladora Electrica 550W;Sopladora Electrica 550W Daewoo;Sopladora Electrica 550W Daewoo;35;35012;210000;294000
com054;Amolad Angular 115Mm Malet;Amolad Angular 115Mm Maletin;Amolad Angular 115Mm Maletin;35;35003;283000;396000
com055;Medidor Laser Daew;Medidor Laser Daewoo;Medidor Laser Daewoo;35;35007;321000;450000
com056;Taladro Percutor Reversi 850W;Taladro Percutor Reversible 850W 3000Rpm;Taladro Percutor Reversible 850W 3000Rpm;35;35002;290000;405000
com057;Martillo Rot 1100W 28Mm;Martillo Rot 1100W 28Mm 900R/Min 4500Bpm;Martillo Rot 1100W 28Mm 900R/Min 4500Bpm;35;35007;598000;838000
com058;Cepillo Electrico 900W ;Cepillo Electrico 900W Dapl900 Daewoo;Cepillo Electrico 900W Dapl900 Daewoo;35;35007;425000;595000
com059;Taladro Percutor Revers 750W ;Taladro Percutor Reversible 750W 2900Rpm;Taladro Percutor Reversible 750W 2900Rpm;35;35002;263000;368000
com060;Martillo Rot 1100W 28Mm ;Martillo Rot 1100W 28Mm 900R/Min 4500Bpm;Martillo Rot 1100W 28Mm 900R/Min 4500Bpm;35;35007;565000;791000
com061;Cepillo Electrico 900W Daewoo;Cepillo Electrico 900W Dapl900 Daewoo;Cepillo Electrico 900W Dapl900 Daewoo;35;35007;401000;561000
com062;Amoladora Angular 750W ;Amoladora Angular 750W 230V 115Mm 4 1/2;Amoladora Angular 750W 230V 115Mm 4 1/2;35;35003;236000;331000
com063;Taladro Percutor Reversib 750W;Taladro Percutor Reversible 750W 2900Rpm;Taladro Percutor Reversible 750W 2900Rpm;35;35002;248000;347000
com064;Generador Daewoo Naftero 2,5K;Generador Daewoo Naftero 2,5Kva;Generador Daewoo Naftero 2,5Kva;35;35008;2515000;3521000
com065;Generador Daewoo Diesel 6.25Kv;Generador Daewoo Diesel 6.25Kva 220V 50H;Generador Daewoo Diesel 6.25Kva 220V 50H;35;35008;6589000;9224000
com066;Generador Naftero Hyundai 5 Kv;Generador Naftero Hyundai 5 Kva;Generador Naftero Hyundai 5 Kva;35;35008;4623000;6472000
com067;Generador Daewoo Naftero 5Kva;Generador Daewoo Naftero 5Kva;Generador Daewoo Naftero 5Kva;35;35008;4524000;6333000
com068;Generador Daewoo Gda980 1Kva;Generador Daewoo Gda980 1Kva;Generador Daewoo Gda980 1Kva;35;35008;993000;1391000
com069;"Motobomba Daewoo 2"" 6,5 Hp Naf";"Motobomba Daewoo 2"" 6,5 Hp Nafta";"Motobomba Daewoo 2"" 6,5 Hp Nafta";35;35016;1234000;1727000
com070;"Motobomba Daewoo 3"" 7Hp Nafta";"Motobomba Daewoo 3"" 7Hp Nafta";"Motobomba Daewoo 3"" 7Hp Nafta";35;35016;1358000;1901000
com071;Hidrolavadora 3en1 Aspiradora;Hidrolavadora 3 En 1 Aspiradora +Sop Daewoo;Hidrolavadora 3 En 1 Aspiradora +Sop Daewoo;35;35013;1026000;1436000
com072;Hidrolavadora Daewoo Dax65-100;Hidrolavadora Daewoo Dax65-100 (1600W);Hidrolavadora Daewoo Dax65-100 (1600W);35;35013;660000;924000
