;nom corto ;nom largo ;detalle;fam;clase;;;
11462;HORNO ELECTRICO JAM 60 LTIMER ;HORNO ELECTRICO JAM 60 LTS DN60E-RML C/ LUZ INTERNA SPIEDO TIMER 120MIN 2200W;HORNO ELECTRICO JAM 60 LTS DN60E-RML C/ LUZ INTERNA SPIEDO TIMER 120MIN 2200W;15;15002;750000;1050000;HORNO ELECTRICO JAM 60 LTIMER 
11466;COCINA  A GAS JAM EVA  5H ;COCINA A GAS JAM EVA TOP GLASS 5HB NEGRO CON LUZ EN EL HORNO;COCINA A GAS JAM EVA TOP GLASS 5HB NEGRO CON LUZ EN EL HORNO;15;15006;1300000;1820000;COCINA  A GAS JAM EVA  5H 
11529;"VENTILADOR DE PIE JAM 30"" ";VENTILADOR INDUSTRIAL DE PIE JAM JM130 4CUCHIL/NEGRO30 BASE RED. 250W 220V/50HZ;VENTILADOR INDUSTRIAL DE PIE JAM JM130 4CUCHIL/NEGRO30 BASE RED. 250W 220V/50HZ;25;25002;420000;588000;"VENTILADOR DE PIE JAM 30"" "
11532;"VENTILADOR  DE PARED JAM 30"" ";VENTILADOR INDUSTRIAL DE PARED JAM JM130C 4 CUCHIL/NEGRO 30 C/ CONTROL 250W;VENTILADOR INDUSTRIAL DE PARED JAM JM130C 4 CUCHIL/NEGRO 30 C/ CONTROL 250W;25;25002;475000;665000;"VENTILADOR  DE PARED JAM 30"" "
11904;FREIDORA OSTER OFRT950 220;FREIDORA OSTER OFRT950-220 CONTROL DIGITAL PANEL TACTIL 33LT 8 FUNCIONES 1300W;FREIDORA OSTER OFRT950-220 CONTROL DIGITAL PANEL TACTIL 33LT 8 FUNCIONES 1300W;1;1002;887000;12416000;FREIDORA OSTER OFRT950 220
7978;HELADERA BRIKET BK 1211 290L;HELADERA BRIKET BK 1211 290LTS. 1PTA.;HELADERA BRIKET BK 1211 290LTS. 1PTA.;5;5001;1795000;2513000;HELADERA BRIKET BK 1211 290L
11814;HERVIDOR ELECT 17 LTS OSTER;HERVIDOR ELECTRICO 17 LTS OSTER BVSTKT3100-053;HERVIDOR ELECTRICO 17 LTS OSTER BVSTKT3100-053;5;5001;161000;2250000;HERVIDOR ELECT 17 LTS OSTER
11867;HERVIDORA OSTER 1.7 LTS 1850;HERVIDORA OSTER 1.7 LTS 1850 WTS OCEL500-220;HERVIDORA OSTER 1.7 LTS 1850 WTS OCEL500-220;5;5001;319000;446000;HERVIDORA OSTER 1.7 LTS 1850
11580;TV JAM ISDB-T SMART 32;TV JAM ISDB-T SMART 32 MOD SK32E10 RESOLUCION HD:1.366X768P  SISTEMA OP.LINUX;TV JAM ISDB-T SMART 32 MOD SK32E10 RESOLUCION HD:1.366X768P  SISTEMA OP.LINUX;9;9001;1280000;1792000;TV JAM ISDB-T SMART 32
11600;SPLIT  JAM 12.000BTU ECO;AIRE ACONDICIONADOR JAM 12.000BTU F/C JF-12CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;AIRE ACONDICIONADOR JAM 12.000BTU F/C JF-12CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;25;25004;1870000;2618000;SPLIT  JAM 12.000BTU ECO
11610;SPLIT  JAM 18.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 18.000BTU F/C JF-18CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;AIRE ACONDICIONADOR JAM 18.000BTU F/C JF-18CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;25;25004;2870000;4018000;SPLIT  JAM 18.000BTU F/C  ECO
11611;SPLIT  JAM 24.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 24.000BTU F/C JF-24CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;AIRE ACONDICIONADOR JAM 24.000BTU F/C JF-24CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;25;25004;4000000;5600000;SPLIT  JAM 24.000BTU F/C  ECO
11613;SPLIT  JAM 60.000BTU F/C ECO;AIRE ACONDICIONADOR JAM 60.000BTU F/C JF-60HRN1 DESC. HORIZ. 380V/50HZ- R410A ECO;AIRE ACONDICIONADOR JAM 60.000BTU F/C JF-60HRN1 DESC. HORIZ. 380V/50HZ- R410A ECO;25;25004;8970000;12558000;SPLIT  JAM 60.000BTU F/C ECO
11642;HORNO ELECT JAM SIRIUS 70L;HORNO ELECTRICO JAM SIRIUS 70L.PANEL COLOR INOX HE-70IX.120M.300ùC.1800W;HORNO ELECTRICO JAM SIRIUS 70L.PANEL COLOR INOX HE-70IX.120M.300ùC.1800W;15;15002;870000;1218000;HORNO ELECT JAM SIRIUS 70L
11628;TV JAM ISDB-T LED 32;TV JAM ISDB-T LED 32 MOD SK32WH3 RESOLUCION HD:1.366X768P;TV JAM ISDB-T LED 32 MOD SK32WH3 RESOLUCION HD:1.366X768P;9;9001;1000000;1400000;TV JAM ISDB-T LED 32
11636;VISICOOLER UGUR771L;EXHIBIDORA VISICOOLER UGUR USS 1000 D2KL 771LTS LUZ LED 2 PUERTAS BATIENTE;EXHIBIDORA VISICOOLER UGUR USS 1000 D2KL 771LTS LUZ LED 2 PUERTAS BATIENTE;5;5004;7800000;10920000;VISICOOLER UGUR771L
11543;HORNO ELECT OSTER TASTE 230C;HORNO ELECTRICO OSTER GRAN TASTE TSSTTV15LTB-057-1 TEMP 230ùC TIMER 60MIN;HORNO ELECTRICO OSTER GRAN TASTE TSSTTV15LTB-057-1 TEMP 230ùC TIMER 60MIN;15;15002;536000;7492000;HORNO ELECT OSTER TASTE 230C
11880;HORNO ELECTRICO JAM 42LTS;HORNO ELECTRICO JAM 42LTS DN42E-RML LUZ INT SPIEDO TIMER 120M 2000W*;HORNO ELECTRICO JAM 42LTS DN42E-RML LUZ INT SPIEDO TIMER 120M 2000W*;15;15002;470000;658000;HORNO ELECTRICO JAM 42LTS
11751;BIBLIOTECA  POLITORNO ;BIBLIOTECA  POLITORNO CON PUERTAS 200076- CASTANHO 2 PUERTAS 3 COMPARTIMIENTOS;BIBLIOTECA  POLITORNO CON PUERTAS 200076- CASTANHO 2 PUERTAS 3 COMPARTIMIENTOS;2;2004;470000;658000;BIBLIOTECA  POLITORNO 
11892;HORNO ELECTRICO JAM SIRIUS 45L;HORNO ELECTRICO JAM SIRIUS 45L HE-45NG 120M 300ùC 1400W 220/240V/50HZ TC;HORNO ELECTRICO JAM SIRIUS 45L HE-45NG 120M 300ùC 1400W 220/240V/50HZ TC COLOR DISPONIBLE NEGRO ROJO BLANCO ;15;15002;600000;840000;HORNO ELECTRICO JAM SIRIUS 45L
11866;HORNO ELECTRICO OSTER 30 LTS;HORNO ELECTRICO OSTER 30 LTS C/ TIMER TSSTTV7030-053 C/4 FUNCIONES;HORNO ELECTRICO OSTER 30 LTS C/ TIMER TSSTTV7030-053 C/4 FUNCIONES;15;15002;770000;10773000;HORNO ELECTRICO OSTER 30 LTS
11812;BATIDORA DE MANO Y PEDESTAL;BATIDORA DE MANO Y PEDESTAL OSTER 002610-051-000 TAZON DE PLASTICO 250W 2.5 LTS;BATIDORA DE MANO Y PEDESTAL OSTER 002610-051-000 TAZON DE PLASTICO 250W 2.5 LTS;1;1004;477000;6676000;BATIDORA DE MANO Y PEDESTAL
11813;HERVIDOR OSTER ELECTRICO 1.7 L;HERVIDOR ELECTRICO 17 LTS OSTER BVSTKT673SS;HERVIDOR ELECTRICO 17 LTS OSTER BVSTKT673SS;1;1011;284000;3964000;HERVIDOR OSTER ELECTRICO 1.7 L
4218;KIT OFICINA POLITORNO ESPANHA;KIT OFICINA POLITORNO ESPANHA 1176- TABACO- 3CAJONES 2PTAS;KIT OFICINA POLITORNO ESPANHA 1176- TABACO- 3CAJONES 2PTAS;2;2005;720000;1008000;KIT OFICINA POLITORNO ESPANHA
10741;LAVARROPAS JAM 8KG;LAVARROPAS JAM AUTOMATICA MICHAEL DELUXE 8KG 1400RPM 15 PROGRAMAS BLANCO;LAVARROPAS JAM AUTOMATICA MICHAEL DELUXE 8KG 1400RPM 15 PROGRAMAS BLANCO;13;13001;1950000;2730000;LAVARROPAS JAM 8KG
11879;LAVARROPAS JAM ALBA 7KG;LAVARROPAS JAM AUTOMATICO ALBA 7KG CARGA SUPERIOR BLANCO*;LAVARROPAS JAM AUTOMATICO ALBA 7KG CARGA SUPERIOR BLANCO*;13;13001;1500000;2100000;LAVARROPAS JAM ALBA 7KG
11818;LICUADORA  OSTER 1.5L REVERS;LICUADORA JARRA DE VIDRIO OSTER BLSTPYG1211-NBG-053 15LTS+BLENDNGO MOTOR REVERS;LICUADORA JARRA DE VIDRIO OSTER BLSTPYG1211-NBG-053 15LTS+BLENDNGO MOTOR REVERS;1;1003;898000;12570000;LICUADORA  OSTER 1.5L REVERS
11819;LICUADORA  OSTER 1,5L ;LICUADORA JARRA DE VIDRIO OSTER BLSTPYG1209B-053 15LTS REVERSIBLE;LICUADORA JARRA DE VIDRIO OSTER BLSTPYG1209B-053 15LTS REVERSIBLE;1;1003;735000;10284000;LICUADORA  OSTER 1,5L 
10144;LAVARROPAS JAM NEW GRACE 6KG;LAVARROPAS JAM AUTOMATICA NEW GRACE DELUXE 6KG 1000RPM 15 PROGRAMAS BLANCO;LAVARROPAS JAM AUTOMATICA NEW GRACE DELUXE 6KG 1000RPM 15 PROGRAMAS BLANCO;13;13001;1530000;2142000;LAVARROPAS JAM NEW GRACE 6KG
11865;LICUADORA OSTER 1.5 LTS 2 VEL ;LICUADORA OSTER 1.5 LTS 2 VEL J.VIDRIO BLSTKAG-RRD-053 ROJO;LICUADORA OSTER 1.5 LTS 2 VEL J.VIDRIO BLSTKAG-RRD-053 COLOR DISPONIBLE ROJO - BLANCO;1;1003;397000;5550000;LICUADORA OSTER 1.5 LTS 2 VEL 
4027;LICUADORA OSTER 1.5 LTS 8 VEL;LICUADORA OSTER 1.5 LTS 8 VEL J.VIDRIO BLSTMG-A15-051 COLOR;LICUADORA OSTER 1.5 LTS 8 VEL J.VIDRIO BLSTMG-A15-051 COLOR DISPONIBLE NARANJA - KIWI ;1;1003;382000;5345000;LICUADORA OSTER 1.5 LTS 8 VEL
11863;LICUADORA OSTER 1.5 LTS PRO;LICUADORA OSTER BLSTBPST-053 1.5 LTS JARRA DE VIDRIO 700WTS PROFESIONAL;LICUADORA OSTER BLSTBPST-053 1.5 LTS JARRA DE VIDRIO 700WTS PROFESIONAL;1;1003;688000;9630000;LICUADORA OSTER 1.5 LTS PRO
4024;LICUADORA OSTER 3 VEL 125L;LICUADORA OSTER 3 VEL 125LTS  J.VIDRIO 600W 004126-053-000;LICUADORA OSTER 3 VEL 125LTS  J.VIDRIO 600W 004126-053-000 COLORES DISPONIBLES ROJO COBRE ;1;1003;595000;8324000;LICUADORA OSTER 3 VEL 125L
11907;LICUADORA OSTER ACTIVE SENSE;LICUADORA OSTER ACTIVE SENSE  BLSTTDT-N00-053 5 PROGRAMAS VASO TRITAN 2LTS;LICUADORA OSTER ACTIVE SENSE  BLSTTDT-N00-053 5 PROGRAMAS VASO TRITAN 2LTS;1;1003;1833000;25660000;LICUADORA OSTER ACTIVE SENSE
11868;LICUADORA OSTER BLSTPYG1210RBG;LICUADORA J.DE VIDRIO OSTER BLSTPYG1210RBG-053 15LTS+BLENDNGO ROJO MOTOR REVERS;LICUADORA J.DE VIDRIO OSTER BLSTPYG1210RBG-053 15LTS+BLENDNGO ROJO MOTOR REVERS;1;1003;898000;12570000;LICUADORA OSTER BLSTPYG1210RBG
30108;MESA CENTRO POLITORNO 2183;MESA CENTRO POLITORNO 2183 25MM;MESA CENTRO POLITORNO 2183 BARCELONA TABACO 25MM;2;2002;285000;399000;MESA CENTRO POLITORNO 2183
4038;MIXER OSTER 3 E 1 450W;MIXER OSTER 3 E 1 450W 002619-051-000 CUCHILLO ELECTRICO + ACCES. P/ PICAR CARNE;MIXER OSTER 3 E 1 450W 002619-051-000 CUCHILLO ELECTRICO + ACCES. P/ PICAR CARNE;1;1008;336000;4695000;MIXER OSTER 3 E 1 450W
3976;PLANCHA DE VAPOR OSTER ;PLANCHA DE VAPOR OSTER GCSTBS4801R-053;PLANCHA DE VAPOR OSTER GCSTBS4801R-053 BASE ANTIADHERENTE/1200W COLOR DISPONIBLE NEGRO ROJO TURQUESA;13;13003;120000;167000;PLANCHA DE VAPOR OSTER 
10102;PLANCHA JAM SECA  ES 1128D;PLANCHA JAM SECA  MOD. ES-1128D;PLANCHA JAM SECA  MOD. ES-1128D;13;13003;50000;70000;PLANCHA JAM SECA  ES 1128D
11397;PLANCHA OSTER A VAPOR 1600W;PLANCHA OSTER A VAPOR 1600W C/ SUELA DE CERAMICAROCIADOR GCSTBS5905-053;PLANCHA OSTER A VAPOR 1600W C/ SUELA DE CERAMICAROCIADOR GCSTBS5905-053;13;13003;161000;2243000;PLANCHA OSTER A VAPOR 1600W
11539;PLANCHA OSTER TURBO;PLANCHA OSTER GCSTCS-401-057 TURBO A VAPOR APAGADO INTELIGENTE  2200W;PLANCHA OSTER GCSTCS-401-057 TURBO A VAPOR APAGADO INTELIGENTE  2200W;13;13003;362000;5056000;PLANCHA OSTER TURBO
11815;PLANCHA VAPOR OSTER  2200WTS;PLANCHA VAPOR OSTER GCSTSP6204-053 2200WTS;PLANCHA VAPOR OSTER GCSTSP6204-053 2200WTS;13;13003;379000;5295000;PLANCHA VAPOR OSTER  2200WTS
11817;PLANCHA VAPOR OSTER 2200W;PLANCHA VAPOR OSTER GCSTSP6202-053 2200W;PLANCHA VAPOR OSTER GCSTSP6202-053 2200W COLOR DISPONIBLE VERDE/BLANCO AZUL/BLANCO ;13;13003;354000;4948000;PLANCHA VAPOR OSTER 2200W
11538;PLANCHA VAPOR OSTER 2200WTS;PLANCHA VAPOR OSTER GCSTCC3000-057 INALAMBRICA 2200WTS APAGADO INTELIGENTE;PLANCHA VAPOR OSTER GCSTCC3000-057 INALAMBRICA 2200WTS APAGADO INTELIGENTE;13;13003;389000;5441000;PLANCHA VAPOR OSTER 2200WTS
11909;PLANCHA VAPOR OSTER PRESSXPRES;PLANCHA VAPOR OSTER GCSTPX4070-057 PRESSXPRES INDICADOR DE TEMPERATURA 2500WTS;PLANCHA VAPOR OSTER GCSTPX4070-057 PRESSXPRES INDICADOR DE TEMPERATURA 2500WTS;13;13003;482000;6740000;PLANCHA VAPOR OSTER PRESSXPRES
11196;SANDWICHERA JAM JM 201 GRILL;SANDWICHERA JAM JM-201 BLANCA C/ PLACA GRILL;SANDWICHERA JAM JM-201 BLANCA C/ PLACA GRILL;1;1005;85000;119000;SANDWICHERA JAM JM 201 GRILL
12252;EXHIBIDORA BRIKET LUZ LED.500L;EXHIBIDORA BRIKET M5000 LED PERIMETRAL 500LTS CI CONT. INT R290;EXHIBIDORA BRIKET M5000 LED PERIMETRAL 500LTS CI CONT. INT R290;5;5004;5650000;7910000;EXHIBIDORA BRIKET LUZ LED.500L
12253;EXHIBIDORA BRIKET  500L;EXHIBIDORA BRIKET M5000 LED SUPERIOR CI- 500LTS R290;EXHIBIDORA BRIKET M5000 LED SUPERIOR CI- 500LTS R290;5;5004;5000000;7000000;EXHIBIDORA BRIKET  500L
4056;SANDWICHERA OSTER 750W;SANDWICHERA OSTER 750W ANTIADHERENTE 2 PANES CKSTSM2885-053;SANDWICHERA OSTER 750W ANTIADHERENTE 2 PANES CKSTSM2885-053;1;1005;157000;2191000;SANDWICHERA OSTER 750W
30103;RACK POLITORNO OSASCO;RACK POLITORNO OSASCO 2 PUERTAS 170198 TV 55 IMBUIA/ARTICO;RACK POLITORNO OSASCO 2 PUERTAS 170198 TV 55 IMBUIA/ARTICO;2;2003;460000;644000;RACK POLITORNO OSASCO
30106;KIT OFICINA POLITORNO ESPANHA ;KIT OFICINA POLITORNO ESPANHA 1176 3 CAJONES 2 PTAS NEGRO;KIT OFICINA POLITORNO ESPANHA 1176 3 CAJONES 2 PTAS NEGRO;2;2005;720000;1008000;KIT OFICINA POLITORNO ESPANHA 
10854;TOCADOR POLITORNO 160212;TOCADOR POLITORNO LAS VEGAS 160212 BLANCO;TOCADOR POLITORNO LAS VEGAS 160212 BLANCO;1;1005;960000;1344000;TOCADOR POLITORNO 160212
30109;RACK POLITORNO CAIRO ;RACK POLITORNO CAIRO 170241 - 500MM  TV 40 TABACO;RACK POLITORNO CAIRO 170241 - 500MM  TV 40 TABACO;2;2003;355000;497000;RACK POLITORNO CAIRO 
3010;ZAPATERO POLITORNO 3 CAJONES;ZAPATERO POLITORNO 3 CAJONES 3006 TABACO;ZAPATERO POLITORNO 3 CAJONES 3006 TABACO;2;2002;380000;532000;ZAPATERO POLITORNO 3 CAJONES
11661;ZAPATERO POLITORNO FLORIANO ;ZAPATERO POLITORNO FLORIANO 200064 CON ESPEJO - BLANCO;ZAPATERO POLITORNO FLORIANO 200064 CON ESPEJO - BLANCO;2;2002;580000;812000;ZAPATERO POLITORNO FLORIANO 
