;nom corto ;nom largo ;detalle;fam;clase;;;
4030;MINI VASOS DE PLASTICO OSTER ;MINI VASOS DE PLASTICO OSTER PARA LICUADORA 004888-011-000   2 MINI VASOS;MINI VASOS DE PLASTICO OSTER PARA LICUADORA 004888-011-000   2 MINI VASOS;15;15007;77000;108000;MINI VASOS DE PLASTICO OSTER 
11808;COCINA  ANAFE JAM 5H EVA PREM;COCINA  ANAFE JAM 5H EVA PREMIUM EMPOTRABLE  VIDRIO NEGRO;COCINA  ANAFE JAM 5H EVA PREMIUM EMPOTRABLE  VIDRIO NEGRO;15;15002;700000;980000;COCINA  ANAFE JAM 5H EVA PREM
4055;SANDWICHERA OSTER ;SANDWICHERA OSTER PLATO REMOVIBLE 700W CKSTSM3891-053 2 PANES;SANDWICHERA OSTER PLATO REMOVIBLE 700W CKSTSM3891-053 2 PANES;1;1005;272000;3808000;SANDWICHERA OSTER 
11623;COCINA  VITRO JAM AM IF401;COCINA  VITROCERAMICA JAM ANAFE AM-IF401 4 HORNALLAS;COCINA  VITROCERAMICA JAM ANAFE AM-IF401 4 HORNALLAS;15;15004;1000000;1400000;COCINA  VITRO JAM AM IF401
4062;OLLA OSTER ELECTRICA  1.8 L;OLLA OSTER ELECTRICA  ARROCERA 1.8 LTS 004729-053-000 LUZ INDICAD Y CON ESPATULA;OLLA OSTER ELECTRICA  ARROCERA 1.8 LTS 004729-053-000 LUZ INDICAD Y CON ESPATULA;15;15007;315000;4401000;OLLA OSTER ELECTRICA  1.8 L
4069;ABRELATAS OSTER ELECTRICO ;ABRELATAS OSTER ELECTRICO 003125-051-000;ABRELATAS OSTER ELECTRICO 003125-051-000;15;15007;220000;308000;ABRELATAS OSTER ELECTRICO 
4117;LICUADORA OSTER 1.5 L;LICUADORA OSTER 1.5 LTS 2 VEL J.VIDRIO BPST02-B00-053 PROFESIONAL;LICUADORA OSTER 1.5 LTS 2 VEL J.VIDRIO BPST02-B00-053 PROFESIONAL;1;1003;671000;9389000;LICUADORA OSTER 1.5 L
4118;LICUADORA OSTER 3 VEL ;LICUADORA OSTER 3 VEL V.VIDRIO 600W 004655-053-000 GRIS;LICUADORA OSTER 3 VEL V.VIDRIO 600W 004655-053-000 GRIS;1;1003;595000;8324000;LICUADORA OSTER 3 VEL 
4200;BIBLIOTECA POLITORNO C/ PTAS ;BIBLIOTECA POLITORNO CON PUERTAS 2115 - ARTICO 2 PUERTAS 3 COMPARTIMIENTOS;BIBLIOTECA POLITORNO CON PUERTAS 2115 - ARTICO 2 PUERTAS 3 COMPARTIMIENTOS;2;2004;470000;658000;BIBLIOTECA POLITORNO C/ PTAS 
4210;ZAPATERO POLITORNO ITU;ZAPATERO POLITORNO ITU 2151- TABACO 1 PTA;ZAPATERO POLITORNO ITU 2151- TABACO 1 PTA;2;2002;1080000;1512000;ZAPATERO POLITORNO ITU
