Codigo Proveedor ;Nombre ;Detalle ;Detalle ;Familia;Clase ;Costo ;Precio Lista
356909;Tarj Samsung P/Cerradura Univ;La Tarjeta De Cerradura Electrónica Samsung Universal Es La Manera Más Segura De Abrir Y Cerrar La Puerta De Casa, El Comercio O La Oficina. Sólo Tienes Que Realizar Un Pequeño Movimiento Para Entrar Y Salir De Los Lugares Que Deseas. Tiene Un Diseño Ligero, Que Permite Que Sea Guardado Y Transportado A Cualquier Lugar Sin Causar Molestias.;La Tarjeta De Cerradura Electrónica Samsung Universal Es La Manera Más Segura De Abrir Y Cerrar La Puerta De Casa, El Comercio O La Oficina. Sólo Tienes Que Realizar Un Pequeño Movimiento Para Entrar Y Salir De Los Lugares Que Deseas. Tiene Un Diseño Ligero, Que Permite Que Sea Guardado Y Transportado A Cualquier Lugar Sin Causar Molestias.;23;23009;42000;58000
1107012;Cerradura Electronica Hyu-420 ;"Sistema De Bloqueo: Automático Y Manual
Sistema De Prevención: Daños Y Hackers
Sistema De Bloqueo: Con Tarjeta Y Código Secreto
Función: Autobloqueo
Material: Fundición En Aluminio Y Aleación De Zinc
Color: Negro/Plata";"Sistema De Bloqueo: Automático Y Manual
Sistema De Prevención: Daños Y Hackers
Sistema De Bloqueo: Con Tarjeta Y Código Secreto
Función: Autobloqueo
Material: Fundición En Aluminio Y Aleación De Zinc
Color: Negro/Plata";23;23009;717000;1004000
1107005;Cerradura Electronica Hyu-580 ;"Marca: Hyundai
Modelo: Hyu-580
Color: Negro/Plata
Características: Métodos De Apertura Mediante Identificación De Contraseña Numérica, Huella Digital O Aproximación De Tarjeta Ic Card - Sistema De Traba Automático/Manual - Bloquea Automáticamente Al Recibir 3 Códigos Incorrectos Seguidos - Indicador De Batería Baja
Botón: Touch Screen, Retroiluminado Por Led
Alimentación: Requiere 4 Pilas Aa
Peso Bruto (G): 1462
Dimensiones De Embalaje (Cm): 20.9 X 8.5 X 26.1";"Marca: Hyundai
Modelo: Hyu-580
Color: Negro/Plata
Características: Métodos De Apertura Mediante Identificación De Contraseña Numérica, Huella Digital O Aproximación De Tarjeta Ic Card - Sistema De Traba Automático/Manual - Bloquea Automáticamente Al Recibir 3 Códigos Incorrectos Seguidos - Indicador De Batería Baja
Botón: Touch Screen, Retroiluminado Por Led
Alimentación: Requiere 4 Pilas Aa
Peso Bruto (G): 1462
Dimensiones De Embalaje (Cm): 20.9 X 8.5 X 26.1";23;23009;948000;1327000
1106992;Cerradura Electronica Hyu6450 ;"Rendimiento: Certificacion Ip54, Resistente Al Polvo Y Al Agua
Marca: Audisat
Modelo: E-02
Color: Blanco/Negro
Capacidad: Maxima De 100 Kg
Velocidad: Maxima De 25 Km/H
Tamaño De La Rueda: 8.5""
Motor: Con Potencia Maxima De 400 Watts
Distancia: Una Recarga Permite Recorrer Hasta 20 Km
Características: Estructura Plegable - Sistema De Frenado E-Abs
Rendimiento: Certificación Ip54, Resistente Al Polvo Y Al Agua
Temperatura De Operación: -10 40 ?C
Led: Integrados En La Estructura
Batería: Interna, Recargable
Tiempo De Recarga: Requiere De 4 Horas";"Rendimiento: Certificacion Ip54, Resistente Al Polvo Y Al Agua
Marca: Audisat
Modelo: E-02
Color: Blanco/Negro
Capacidad: Maxima De 100 Kg
Velocidad: Maxima De 25 Km/H
Tamaño De La Rueda: 8.5""
Motor: Con Potencia Maxima De 400 Watts
Distancia: Una Recarga Permite Recorrer Hasta 20 Km
Características: Estructura Plegable - Sistema De Frenado E-Abs
Rendimiento: Certificación Ip54, Resistente Al Polvo Y Al Agua
Temperatura De Operación: -10 40 ?C
Led: Integrados En La Estructura
Batería: Interna, Recargable
Tiempo De Recarga: Requiere De 4 Horas";23;23009;1195000;1673000
955768;Monopatin Eletrico Audisat ;"Rendimiento
Certificacion Ip54, Resistente Al Polvo Y Al Agua
Marca
Audisat
Modelo: E-02
Color: Blanco/Negro
Capacidad: Maxima De 100 Kg
Velocidad: Maxima De 25 Km/H
Máxima Inclinación De Ascenso: Soporta Hasta 11
Tamaño De La Rueda: 8.5""
Motor: Con Potencia Maxima De 400 Watts
Distancia: Una Recarga Permite Recorrer Hasta 20 Km
Característicasestructura Plegable - Sistema De Frenado E-Abs
Rendimiento: Certificación Ip54, Resistente Al Polvo Y Al Agua
Temperatura De Operación: -10 ~ 40 ?C
Led: Integrados En La Estructura
Batería: Interna, Recargable
Tiempo De Recarga: Requiere De 4 Horas";"Rendimiento
Certificacion Ip54, Resistente Al Polvo Y Al Agua
Marca
Audisat
Modelo: E-02
Color: Blanco/Negro
Capacidad: Maxima De 100 Kg
Velocidad: Maxima De 25 Km/H
Máxima Inclinación De Ascenso: Soporta Hasta 11
Tamaño De La Rueda: 8.5""
Motor: Con Potencia Maxima De 400 Watts
Distancia: Una Recarga Permite Recorrer Hasta 20 Km
Característicasestructura Plegable - Sistema De Frenado E-Abs
Rendimiento: Certificación Ip54, Resistente Al Polvo Y Al Agua
Temperatura De Operación: -10 ~ 40 ?C
Led: Integrados En La Estructura
Batería: Interna, Recargable
Tiempo De Recarga: Requiere De 4 Horas";23;23007;1360000;1904000
1140460;Monopatin Eletrico Xiaomi 8.5P;"Modelo: Mdp-S01
Color: Multicolor
Compatibilidad: Scooter, Drift Scooter Y Monopatin Eléctrico
Funciones: Crea Efectos Sonoros Con Iluminación Combinada
Batería: Interna Recarregavel
Botón: Enciende/Apaga Y Spray
Alimentación: A Traves De La Entrada Micro Usb
Cantidad De Led: 8 (4 Azules Y 4 Rojos)
Peso Bruto (G): 688
Dimensiones De Embalaje (Cm): 20.1 X 15.4 X 8.5
Incluye: Cable Usb - 2 Pegatinas 3M - Control Remoto - Manual
Led: Rojo/Azul";"Modelo: Mdp-S01
Color: Multicolor
Compatibilidad: Scooter, Drift Scooter Y Monopatin Eléctrico
Funciones: Crea Efectos Sonoros Con Iluminación Combinada
Batería: Interna Recarregavel
Botón: Enciende/Apaga Y Spray
Alimentación: A Traves De La Entrada Micro Usb
Cantidad De Led: 8 (4 Azules Y 4 Rojos)
Peso Bruto (G): 688
Dimensiones De Embalaje (Cm): 20.1 X 15.4 X 8.5
Incluye: Cable Usb - 2 Pegatinas 3M - Control Remoto - Manual
Led: Rojo/Azul";23;23007;2712000;3796000
1025316;Parlante para Scooter/Monopati;"Modelo: Mdp-S01
Color: Multicolor
Compatibilidad: Scooter, Drift Scooter Y Monopatin Eléctrico
Funciones: Crea Efectos Sonoros Con Iluminación Combinada
Batería: Interna Recarregavel
Botón: Enciende/Apaga Y Spray
Alimentación: A Traves De La Entrada Micro Usb
Cantidad De Led: 8 (4 Azules Y 4 Rojos)
Peso Bruto (G): 688
Dimensiones De Embalaje (Cm)20.1 X 15.4 X 8.5
Incluye: Cable Usb - 2 Pegatinas 3M - Control Remoto - Manual
Led: Rojo/Azul";"Modelo: Mdp-S01
Color: Multicolor
Compatibilidad: Scooter, Drift Scooter Y Monopatin Eléctrico
Funciones: Crea Efectos Sonoros Con Iluminación Combinada
Batería: Interna Recarregavel
Botón: Enciende/Apaga Y Spray
Alimentación: A Traves De La Entrada Micro Usb
Cantidad De Led: 8 (4 Azules Y 4 Rojos)
Peso Bruto (G): 688
Dimensiones De Embalaje (Cm)20.1 X 15.4 X 8.5
Incluye: Cable Usb - 2 Pegatinas 3M - Control Remoto - Manual
Led: Rojo/Azul";23;23007;141000;197000
1157222;"Smart Balance Wheel 6.5"" ";"Marca: Interbras
Modelo: Smart Balance Wheel
Capacidad: Maxima: 100 Kg
Velocidad: Máxima: 10 Km/H
Tamaño De La Rueda: 6.5""
Características: Motor Silencioso Inteligente
Bluetooth: Integrado
Alto Parlante: Integrados
Temperatura De Operación: -15 °C A 50 °C
Led: Integrado
Batería: Litio/36V
Tiempo De Recarga: Requiere De 2 A 3 Horas
Voltaje: 100 - 240 V ~ 50/60 Hz
Peso Bruto (G): 7723
Dimensiones De Embalaje (Cm): 65 X 24.3 X 23.2";"Marca: Interbras
Modelo: Smart Balance Wheel
Capacidad: Maxima: 100 Kg
Velocidad: Máxima: 10 Km/H
Tamaño De La Rueda: 6.5""
Características: Motor Silencioso Inteligente
Bluetooth: Integrado
Alto Parlante: Integrados
Temperatura De Operación: -15 °C A 50 °C
Led: Integrado
Batería: Litio/36V
Tiempo De Recarga: Requiere De 2 A 3 Horas
Voltaje: 100 - 240 V ~ 50/60 Hz
Peso Bruto (G): 7723
