;nom corto ;nom largo ;detalle;fam;clase;;
11580;Tv Jam Isdb T Smart 32 Mod Sk32E10 Resolucion Hd:1.366X768P  Sistema Op.Linux;Tv Jam Isdb-T Smart 32 Mod Sk32E10 Resolucion Hd:1.366X768P  Sistema Op.Linux;Tv Jam Isdb-T Smart 32 Mod Sk32E10 Resolucion Hd:1.366X768P  Sistema Op.Linux;9;9001;1280000;1792000
11600;Aire Acondicionador Jam 12.000Btu F C Jf 12Chrn1 Desc.Horiz. 220V 50Hz  R410A Eco;Aire Acondicionador Jam 12.000Btu F/C Jf-12Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;Aire Acondicionador Jam 12.000Btu F/C Jf-12Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;1870000;2618000
11610;Aire Acondicionador Jam 18.000Btu F C Jf 18Chrn1 Desc.Horiz. 220V 50Hz  R410A Eco;Aire Acondicionador Jam 18.000Btu F/C Jf-18Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;Aire Acondicionador Jam 18.000Btu F/C Jf-18Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;2870000;4018000
11611;Split Jam 24.000Btu F C Jf 24Chrn1 Desc.Horiz. 220V 50Hz  R410A Eco;Aire Acondicionador Jam 24.000Btu F/C Jf-24Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;Aire Acondicionador Jam 24.000Btu F/C Jf-24Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;4000000;5600000
11613;Split Jam 60.000Btu F C Jf 60Hrn1 Desc. Horiz. 380V 50Hz  R410A Eco;Aire Acondicionador Jam 60.000Btu F/C Jf-60Hrn1 Desc. Horiz. 380V/50Hz- R410A Eco;Aire Acondicionador Jam 60.000Btu F/C Jf-60Hrn1 Desc. Horiz. 380V/50Hz- R410A Eco;25;25004;8970000;12558000
11642;Horno Elect Jam Sirius 70L;Horno Electrico Jam Sirius 70L.Panel Color Inox He-70Ix.120M.300øC.1800W;Horno Electrico Jam Sirius 70L.Panel Color Inox He-70Ix.120M.300øC.1800W;15;15002;870000;1218000
11628;Tv Jam Isdb T Led 32 Mod Sk32Wh3 Resolucion Hd:1.366X768P;Tv Jam Isdb-T Led 32 Mod Sk32Wh3 Resolucion Hd:1.366X768P;Tv Jam Isdb-T Led 32 Mod Sk32Wh3 Resolucion Hd:1.366X768P;9;9001;1000000;1400000
11636;Exhibidora Visicooler Ugur Uss 1000 D2Kl 771Lts Luz Led 2 Puertas Batiente;Exhibidora Visicooler Ugur Uss 1000 D2Kl 771Lts Luz Led 2 Puertas Batiente;Exhibidora Visicooler Ugur Uss 1000 D2Kl 771Lts Luz Led 2 Puertas Batiente;5;5004;7800000;10920000
11543;Horno Elect Oster Taste 230C;Horno Electrico Oster Gran Taste Tssttv15Ltb-057-1 Temp 230øC Timer 60Min;Horno Electrico Oster Gran Taste Tssttv15Ltb-057-1 Temp 230øC Timer 60Min;15;15002;536000;7492000
11880;Horno Electrico Jam 42Lts;Horno Electrico Jam 42Lts Dn42E-Rml Luz Int Spiedo Timer 120M 2000W*;Horno Electrico Jam 42Lts Dn42E-Rml Luz Int Spiedo Timer 120M 2000W*;15;15002;470000;658000
11751;Biblioteca  Politorno Con Puertas 200076  Castanho 2 Puertas 3 Compartimientos;Biblioteca  Politorno Con Puertas 200076- Castanho 2 Puertas 3 Compartimientos;Biblioteca  Politorno Con Puertas 200076- Castanho 2 Puertas 3 Compartimientos;2;2004;470000;658000
11892;Horno Electrico Jam Sirius 45L;Horno Electrico Jam Sirius 45L He-45Ng 120M 300øC 1400W 220/240V/50Hz Tc;Horno Electrico Jam Sirius 45L He-45Ng 120M 300øC 1400W 220/240V/50Hz Tc Color Disponible Negro Rojo Blanco ;15;15002;600000;840000
11866;Horno Electrico Oster 30 Lts;Horno Electrico Oster 30 Lts C/ Timer Tssttv7030-053 C/4 Funciones;Horno Electrico Oster 30 Lts C/ Timer Tssttv7030-053 C/4 Funciones;15;15002;770000;10773000
11812;Batidora De Mano Y Pedestal Oster 002610 051 000 Tazon De Plastico 250W 2.5 Lts;Batidora De Mano Y Pedestal Oster 002610-051-000 Tazon De Plastico 250W 2.5 Lts;Batidora De Mano Y Pedestal Oster 002610-051-000 Tazon De Plastico 250W 2.5 Lts;1;1004;477000;6676000
11813;Hervidor Electrico 17 Lts Oster Bvstkt673Ss;Hervidor Electrico 17 Lts Oster Bvstkt673Ss;Hervidor Electrico 17 Lts Oster Bvstkt673Ss;1;1011;284000;3964000
4218;Kit Oficina Politorno Espanha;Kit Oficina Politorno Espanha 1176- Tabaco- 3Cajones 2Ptas;Kit Oficina Politorno Espanha 1176- Tabaco- 3Cajones 2Ptas;2;2005;720000;1008000
10741;Lavarropas Jam 8Kg;Lavarropas Jam Automatica Michael Deluxe 8Kg 1400Rpm 15 Programas Blanco;Lavarropas Jam Automatica Michael Deluxe 8Kg 1400Rpm 15 Programas Blanco;13;13001;1950000;2730000
11879;Lavarropas Jam Alba 7Kg;Lavarropas Jam Automatico Alba 7Kg Carga Superior Blanco*;Lavarropas Jam Automatico Alba 7Kg Carga Superior Blanco*;13;13001;1500000;2100000
11818;Licuadora Jarra De Vidrio Oster Blstpyg1211 Nbg 053 15Lts+Blendngo Motor Revers;Licuadora Jarra De Vidrio Oster Blstpyg1211-Nbg-053 15Lts+Blendngo Motor Revers;Licuadora Jarra De Vidrio Oster Blstpyg1211-Nbg-053 15Lts+Blendngo Motor Revers;1;1003;898000;12570000
11819;Licuadora Jarra De Vidrio Oster Blstpyg1209B 053 15Lts Reversible;Licuadora Jarra De Vidrio Oster Blstpyg1209B-053 15Lts Reversible;Licuadora Jarra De Vidrio Oster Blstpyg1209B-053 15Lts Reversible;1;1003;735000;10284000
10144;Lavarropas Jam New Grace 6Kg;Lavarropas Jam Automatica New Grace Deluxe 6Kg 1000Rpm 15 Programas Blanco;Lavarropas Jam Automatica New Grace Deluxe 6Kg 1000Rpm 15 Programas Blanco;13;13001;1530000;2142000
11865;Licuadora Oster 1.5 Lts 2 Vel ;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Blstkag-Rrd-053 Rojo;Licuadora Oster 1.5 Lts 2 Vel J.Vidrio Blstkag-Rrd-053 Color Disponible Rojo - Blanco;1;1003;397000;5550000
4027;Licuadora Oster 1.5 Lts 8 Vel;Licuadora Oster 1.5 Lts 8 Vel J.Vidrio Blstmg-A15-051 Color;Licuadora Oster 1.5 Lts 8 Vel J.Vidrio Blstmg-A15-051 Color Disponible Naranja - Kiwi ;1;1003;382000;5345000
11863;Licuadora Oster 1.5 Lts Pro;Licuadora Oster Blstbpst-053 1.5 Lts Jarra De Vidrio 700Wts Profesional;Licuadora Oster Blstbpst-053 1.5 Lts Jarra De Vidrio 700Wts Profesional;1;1003;688000;9630000
4024;Licuadora Oster 3 Vel 125L;Licuadora Oster 3 Vel 125Lts  J.Vidrio 600W 004126-053-000;Licuadora Oster 3 Vel 125Lts  J.Vidrio 600W 004126-053-000 Colores Disponibles Rojo Cobre ;1;1003;595000;8324000
11907;Licuadora Oster Active Sense;Licuadora Oster Active Sense  Blsttdt-N00-053 5 Programas Vaso Tritan 2Lts;Licuadora Oster Active Sense  Blsttdt-N00-053 5 Programas Vaso Tritan 2Lts;1;1003;1833000;25660000
11868;Licuadora Oster Blstpyg1210Rbg;Licuadora J.De Vidrio Oster Blstpyg1210Rbg-053 15Lts+Blendngo Rojo Motor Revers;Licuadora J.De Vidrio Oster Blstpyg1210Rbg-053 15Lts+Blendngo Rojo Motor Revers;1;1003;898000;12570000
30108;Mesa Centro Politorno 2183;Mesa Centro Politorno 2183 25Mm;Mesa Centro Politorno 2183 Barcelona Tabaco 25Mm;2;2002;285000;399000
4038;Mixer Oster 3 E 1 450W;Mixer Oster 3 E 1 450W 002619-051-000 Cuchillo Electrico + Acces. P/ Picar Carne;Mixer Oster 3 E 1 450W 002619-051-000 Cuchillo Electrico + Acces. P/ Picar Carne;1;1008;336000;4695000
3976;Plancha De Vapor Oster ;Plancha De Vapor Oster Gcstbs4801R-053;Plancha De Vapor Oster Gcstbs4801R-053 Base Antiadherente/1200W Color Disponible Negro Rojo Turquesa;13;13003;120000;167000
10102;Plancha Jam Seca  Es 1128D;Plancha Jam Seca  Mod. Es-1128D;Plancha Jam Seca  Mod. Es-1128D;13;13003;50000;70000
11397;Plancha Oster A Vapor 1600W;Plancha Oster A Vapor 1600W C/ Suela De CeramicaRociador Gcstbs5905-053;Plancha Oster A Vapor 1600W C/ Suela De CeramicaRociador Gcstbs5905-053;13;13003;161000;2243000
11539;Plancha Oster Turbo;Plancha Oster Gcstcs-401-057 Turbo A Vapor Apagado Inteligente  2200W;Plancha Oster Gcstcs-401-057 Turbo A Vapor Apagado Inteligente  2200W;13;13003;362000;5056000
11815;Plancha Vapor Oster  2200Wts;Plancha Vapor Oster Gcstsp6204-053 2200Wts;Plancha Vapor Oster Gcstsp6204-053 2200Wts;13;13003;379000;5295000
11817;Plancha Vapor Oster 2200W;Plancha Vapor Oster Gcstsp6202-053 2200W;Plancha Vapor Oster Gcstsp6202-053 2200W Color Disponible Verde/Blanco Azul/Blanco ;13;13003;354000;4948000
11538;Plancha Vapor Oster 2200Wts;Plancha Vapor Oster Gcstcc3000-057 Inalambrica 2200Wts Apagado Inteligente;Plancha Vapor Oster Gcstcc3000-057 Inalambrica 2200Wts Apagado Inteligente;13;13003;389000;5441000
11909;Plancha Vapor Oster Pressxpres;Plancha Vapor Oster Gcstpx4070-057 Pressxpres Indicador De Temperatura 2500Wts;Plancha Vapor Oster Gcstpx4070-057 Pressxpres Indicador De Temperatura 2500Wts;13;13003;482000;6740000
11196;Sandwichera Jam Jm 201 Grill;Sandwichera Jam Jm-201 Blanca C/ Placa Grill;Sandwichera Jam Jm-201 Blanca C/ Placa Grill;1;1005;85000;119000
12252;Exhibidora Briket M5000 Led Perimetral 500Lts Ci Cont. Int R290;Exhibidora Briket M5000 Led Perimetral 500Lts Ci Cont. Int R290;Exhibidora Briket M5000 Led Perimetral 500Lts Ci Cont. Int R290;5;5004;5650000;7910000
12253;Exhibidora Briket M5000 Led Superior Ci  500Lts R290;Exhibidora Briket M5000 Led Superior Ci- 500Lts R290;Exhibidora Briket M5000 Led Superior Ci- 500Lts R290;5;5004;5000000;7000000
4056;Sandwichera Oster 750W;Sandwichera Oster 750W Antiadherente 2 Panes Ckstsm2885-053;Sandwichera Oster 750W Antiadherente 2 Panes Ckstsm2885-053;1;1005;157000;2191000
30103;Rack Politorno Osasco 2 Puertas 170198 Tv 55 Imbuia Artico;Rack Politorno Osasco 2 Puertas 170198 Tv 55 Imbuia/Artico;Rack Politorno Osasco 2 Puertas 170198 Tv 55 Imbuia/Artico;2;2003;460000;644000
30106;Kit Oficina Politorno Espanha 1176 3 Cajones 2 Ptas Negro;Kit Oficina Politorno Espanha 1176 3 Cajones 2 Ptas Negro;Kit Oficina Politorno Espanha 1176 3 Cajones 2 Ptas Negro;2;2005;720000;1008000
10854;Tocador Politorno 160212;Tocador Politorno Las Vegas 160212 Blanco;Tocador Politorno Las Vegas 160212 Blanco;1;1005;960000;1344000
30109;Rack Politorno Cairo 170241   500Mm  Tv 40 Tabaco;Rack Politorno Cairo 170241 - 500Mm  Tv 40 Tabaco;Rack Politorno Cairo 170241 - 500Mm  Tv 40 Tabaco;2;2003;355000;497000
3010;Zapatero Politorno 3 Cajones;Zapatero Politorno 3 Cajones 3006 Tabaco;Zapatero Politorno 3 Cajones 3006 Tabaco;2;2002;380000;532000
11661;Zapatero Politorno Floriano ;Zapatero Politorno Floriano 200064 Con Espejo - Blanco;Zapatero Politorno Floriano 200064 Con Espejo - Blanco;2;2002;580000;812000
