codigo;Nombre ;descripcion;detalle;Familia;Clase ;costo;lista
1132618;"TELEVISOR VIZZION 32"" SMART";"TELEVISOR VIZZION 32"" LE32E10 LED SMART - Wi-Fi HDMI / USB +CONVERSOR DIGITAL CONVERSOR DIGITAL";"TELEVISOR VIZZION 32"" LE32E10 LED SMART - Wi-Fi HDMI / USB +CONVERSOR DIGITAL CONVERSOR DIGITAL";9;9001;1517000;2124000
1132601;"TELEVISOR VIZZION 65"" SMART 4K";"TELEVISOR VIZZION 65"" LE65Q21 LED SMART 4K Ultra HD Wi-Fi HDMI / USB+CONVERSOR DIGITAL";"TELEVISOR VIZZION 65"" LE65Q21 LED SMART 4K Ultra HD Wi-Fi HDMI / USB+CONVERSOR DIGITAL";9;9001;5234000;7328000
1132595;"TELEVISOR VIZZION 75"" SMART 4K";"TELEVISOR VIZZION 75"" LE75U20 LED SMART 4K Ultra HD Wi-Fi / HDMI / USB +CONVERSOR DIGITAL";"TELEVISOR VIZZION 75"" LE75U20 LED SMART 4K Ultra HD Wi-Fi / HDMI / USB +CONVERSOR DIGITAL";9;9001;8324000;11654000
1007862;"TELEVISOR AIWA 32"" SMART ";"TELEVISOR AIWA 32"" AW32B4SM LED SMART HDMI / USB / Puerto Ethernet+CONVERSOR DIGITALN";"TELEVISOR AIWA 32"" AW32B4SM LED SMART HDMI / USB / Puerto Ethernet+CONVERSOR DIGITALN";9;9001;1566000;2193000
1156607;"TELEVISOR AIWA 42"" SMART ";"TELEVISOR AIWA 42"" AW42B4SM FULL HD SMART Wi-Fi HDMI / USB+CONVERSOR DIGITAL";"TELEVISOR AIWA 42"" AW42B4SM FULL HD SMART Wi-Fi HDMI / USB+CONVERSOR DIGITAL";9;9001;2300000;3220000
1007879;"TELEVISOR AIWA 50""  SMART 4K";"TELEVISOR AIWA 50"" AW50B4K LED SMART 4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";"TELEVISOR AIWA 50"" AW50B4K LED SMART 4K Ultra HD Wi-Fi / HDMI / USB + CONVERSOR DIGITAL";9;9001;3041000;4258000
