cod proveedor;Nombre ;Descripcion Larga;Detalle;Familia;Clase ;Costo ;Precio Lista
1007220;Auriculares Inalambricos Apple Airpods 2 ;"Modelo : Macbook Air A2337 Mgne3Ll/A (2020)
Pantalla:Retina Retina Led De 13.3"" Con Tecnologia True Tone
Procesador : Chip Apple M1 Octa Core
Sistema Operativo: Macos 
Memoria Ram: 8Gb Lpddr4X-4266
Ssd: 512Gb
Conectividad: Wi-Fi 6 802.11Ax - Bluetooth 5.0
Camara: Facetime Hd
Sensor: Touch Id
Microfonos: Sistema De Tres Microfonos Con Tecnologia Beamforming Direccional
Teclado: Retroiluminado Por Led Y Con Sensor De Luz Ambiente
Alto Parlante: Integrados - Compatible Con Audio Dolby Atmos";"Modelo : Airpods 2 A2032 - A2031 - A1602 Mv7N2Am/A
Color: Blanco
Compatibilidad: Iphone, Ipad, Ipod Touch Con Ios 13 O Version Superior, Apple Watch Con Watchos 6, Mac Con Macos 10.15 O Version Superior
Caracteristicas: El Chip H1 Mejora La Conexion Y La Usabilidad, Tanto Para Escuchar Reproducciones Como Para Atender O Realizar Llamadas Telefonicas - Optimiza La Activacion De Los Sensores Que Identifican Cuando Los Auriculares Son Removidos Del Oido Y Los Apaga
Bateria: Recargable, Compatible Con Recarga Rápida
";7;7002;1167000;1633000
1061185;Auriculares Inalambricos Apple Airpods Pro;Auriculares Inalambricos Apple Airpods Pro Mwp22Am / A Con Chip H1 - Blanco;"Modelo : Airpods Pro Mwp22Am/A (A2083, A2084, A2190)
Color: Blanco
Compatibilidad: Compatible Con Dispositivos Ios E Ipados, Apple Watch Y Mac Con La Versión Más Reciente Del Software
Caracteristicas: Con Chip H1 - Acceso Rápido A La Asistente Siri - Soporta Cargadores Con Estándar Qi
Conectividad: Cable Usb Integrado
Bateria: Recargable, Compatible Con Recarga Rápida
";7;7002;1801000;2521000
1089455;Lector De Dvd Apple;Lector De Dvd Apple Superdrive A1379 Md564Be / A - Plata / Negro;"Modelo : Superdrive A1379 Md564Be/A
Color: Plata/Negro
Funciones: Reproduccion Y Grabacion
Reproduce: Cd - Dvd
Conector: Via Usb";23;23003;610000;854000
1162288;"Imac Apple A2116 Pantalla Led Retina De 21.5""";"Imac Apple A2116 Pantalla Led Retina De 21.5"" 4K Intel Core I3 3.6Ghz Con 8Gb Ram / 256 Ssd - Plata";"Modelo : Imac Mhk23Ll/A A2116
Color: Plata
Pantalla: Led Widescreen De 21.5""
Resolucion De La Pantalla: Retina 4K (4096 X 2304P), Con Sensor De Luz De Ambiente
Procesador Cpu: Intel I3 Quad Core De 3.6Ghz, (Turbo Boost Puede Llegar Hasta 4.6Ghz)
Caracteristicas: Graficos Y Sistema Operativo Macos; Mermoria Ram 8Gb Ddr4 2400Mhz; Ssd: 256Gb; Conectividad: Wi-Fi 802.11Ac - Bluetooth 4.2, Lan (Puerto Ethernet 10/100/1000 Mbp/S).
Camara: Facetime Hd Integrada
Alto Parlante: Integrados
Interfaz: 2 Puertos Thunderbolt 3 (Usb Tipo C) - Puerto Ethernet - Conector Mini Jack 3.5 Mm - Slot Para Tarjeta Sdxc
";23;23003;10409000;14572000
974745;Lapiz Apple  2Nd Geration;Lapiz Apple 2Nd Geration A2051 Bluetooth Con Conector Magnético - Blanca;"Modelo : Apple Pencil 2Nd Generation A2051 Mu8F2Am/A
Color: Blanco
Funciones: Dibujar, Colorir, Tomar Notas, Escribir Correos Electrónicos, Entre Otras Actividades
Conectividad: Conector Magnetico, Bluetooth
Compatibilidad: Ipads Con Conector Magnético Para Apple Pencil
";23;23003;1047000;1466000
984171;"Celular Iphone 6S 4.7"" 2+32Gb ";"Celular Iphone 6S 4.7"" 2+32Gb A1688 ";"Modelo : Iphone 6S A1688
Memoria Interna: 32G
Memoria Ram: 2G
Procesador Cpu: Chip A9 Con Coprocesador De Movimiento M9 Integrado
Sistema Operativo: Ios
Pantalla: Widescreen Retina De 4.7"" Hd, Con 3D Touch Y Tecnologia Ips
Camara: Principal Isight De 12Mp Con Filtro Ir Hibrido, Live Photos Con Estabilizador, Af Con Focus Pixels, Lente De 5 Elementos + Camara Frontal Facetime Hd De 5Mp Con Retina Flash Y Hdr Automatico
Frecuencia: 4G
Conectividad: Wi-Fi 802.11 A/B/G/N/Ac, Doble Banda (2.4 Y 5 Ghz) Con Mimo - Bluetooth 4.2 - Nfc
Video: Calidad Maxima De Captura: 4K Ultra Hd A 30 Fps - Slow Motion Full Hd 1080P A 120 Fps O Hd 720P A 240 Fps - Cuenta Con  Estabilizacion Cinemática De Video - Posee Af Continuo
Sensor: Touch Id - Giroscopio De 3 Ejes - Acelerometro - Barometro - Sensor De Luz Ambiente - Proximidad
Formato De Video: Reproduce: H.264/Aac-Lc, Mpeg-4/Aac-Lc, M4V, Mp4, Motion Jpeg (M-Jpeg) Y Avi";7;7001;1970000;2758000
